sequence	16S_rRNA_Count	metadata_NSTI
ASV002624	2	0.102406
ASV001191	2	0.105081
ASV002655	2	0.10408099999999999
ASV001285	2	0.11621600000000001
ASV000297	2	0.080228
ASV002106	2	0.07773300000000001
ASV003449	2	0.114824
ASV003996	2	0.081563
ASV001496	2	0.065471
ASV001630	2	0.019352
ASV000199	2	0.009687999999999999
ASV000901	2	0.022336
ASV001103	2	0.011858
ASV001706	2	0.010154
ASV001754	1	0.150753
ASV004892	1	0.158288
ASV000897	1	0.061641999999999995
ASV004816	1	0.008385
ASV003934	1	0.083992
ASV003084	2	0.012091
ASV001296	2	0.013730000000000001
ASV001189	2	0.014244
ASV000557	2	0.015394
ASV011245	2	0.08098
ASV000619	2	0.057942999999999995
ASV000866	2	0.055979999999999995
ASV001074	2	0.052171
ASV001317	2	0.015187
ASV002809	2	0.062262
ASV002934	2	0.052117
ASV003216	2	0.06174299999999999
ASV003839	2	0.053142999999999996
ASV004153	2	0.019665000000000002
ASV004220	2	0.050444
ASV004788	2	0.0159
ASV000915	2	0.044736
ASV001753	2	0.048956
ASV001282	2	0.043719
ASV007813	2	0.059602999999999996
ASV007789	1	0.149348
ASV001738	1	0.078421
ASV002256	1	0.070013
ASV002748	1	0.081963
ASV000236	1	0.058884000000000006
ASV000401	1	0.0559
ASV001827	1	0.193884
ASV002915	1	0.198755
ASV003917	1	0.33113200000000004
ASV001015	1	0.21256999999999998
ASV000877	1	0.194852
ASV002930	3	0.05375
ASV000828	3	0.032072
ASV002668	3	0.038562
ASV000777	1	0.177248
ASV000636	2	0.037000000000000005
ASV000951	2	0.05463099999999999
ASV003087	1	0.235271
ASV002003	1	0.219458
ASV007795	1	0.254499
ASV011297	1	0.235994
ASV000549	1	0.24167600000000003
ASV002900	1	0.244614
ASV000366	2	0.046544
ASV000930	2	0.141202
ASV001079	2	0.129859
ASV002244	2	0.13930499999999998
ASV002194	2	0.137656
ASV001690	2	0.145992
ASV016355	2	0.125249
ASV001072	2	0.14419200000000001
ASV004210	2	0.149582
ASV003217	2	0.12723099999999998
ASV004617	2	0.134568
ASV001745	2	0.13533299999999998
ASV001044	2	0.127729
ASV002241	2	0.137352
ASV004866	2	0.139812
ASV000592	2	0.144377
ASV002752	2	0.145567
ASV001614	2	0.187775
ASV001647	2	0.179066
ASV001798	2	0.168482
ASV001996	2	0.163191
ASV002031	2	0.17758800000000002
ASV002150	2	0.16958299999999998
ASV002471	2	0.165784
ASV001532	2	0.164124
ASV003470	2	0.17889000000000002
ASV003535	2	0.166095
ASV003945	2	0.18343900000000002
ASV004960	2	0.166714
ASV007547	2	0.182053
ASV011282	2	0.177651
ASV007803	2	0.15803
ASV008588	2	0.16990999999999998
ASV000405	2	0.172957
ASV001145	2	0.186877
ASV001352	2	0.18481199999999998
ASV000191	2	0.140756
ASV000228	2	0.17311300000000002
ASV000260	2	0.14268
ASV000294	2	0.142621
ASV000327	2	0.140716
ASV000328	2	0.17510799999999999
ASV001062	2	0.180169
ASV000508	2	0.174903
ASV000943	2	0.175796
ASV000959	2	0.177805
ASV000993	2	0.17883800000000002
ASV001068	2	0.15450899999999998
ASV001197	2	0.148277
ASV001253	2	0.146378
ASV001394	2	0.17563099999999998
ASV002100	1	0.018793999999999998
ASV000400	1	0.051095999999999996
ASV000333	1	0.018574
ASV003213	2	0.15296400000000002
ASV000308	1	0.251333
ASV000455	3	0.059359
ASV000158	3	0.112751
ASV002205	3	0.08103099999999999
ASV000973	3	0.054480999999999995
ASV007818	1	0.074281
ASV000336	1	0.319364
ASV006789	1	0.262316
ASV000262	1	0.230636
ASV001509	1	0.062014
ASV000298	1	0.087662
ASV004040	1	0.051682000000000006
ASV003558	1	0.06112000000000001
ASV001238	1	0.059684
ASV001206	1	0.074621
ASV001845	1	0.05481900000000001
ASV000989	1	0.06311900000000001
ASV001837	1	0.032844
ASV002912	1	0.041908999999999995
ASV001001	1	0.040523
ASV001043	1	0.021861000000000002
ASV000239	1	0.020844
ASV016320	1	0.030907999999999998
ASV000394	1	0.020579
ASV004603	1	0.018557
ASV000971	1	0.045645
ASV004098	1	0.167853
ASV004985	1	0.167853
ASV008073	1	0.066807
ASV009410	1	0.096295
ASV011285	1	0.113185
ASV008584	1	0.131874
ASV001107	1	0.035967
ASV002275	1	0.043118000000000004
ASV000824	1	0.070079
ASV000795	1	0.022152
ASV009366	1	0.078721
ASV001304	1	0.055745
ASV002128	1	0.083728
ASV002119	1	0.062941
ASV007794	1	0.062476
ASV000008	1	0.015576
ASV001995	1	0.037385
ASV001864	1	0.07763400000000001
ASV001303	1	0.056251999999999996
ASV011327	1	0.061228
ASV000827	1	0.07746900000000001
ASV002488	1	0.053898
ASV016333	1	0.028964
ASV000563	1	0.037551
ASV001494	1	0.063964
ASV009952	1	0.054662999999999996
ASV002447	1	0.068587
ASV007797	1	0.059341
ASV009959	1	0.024066
ASV006407	1	0.05123200000000001
ASV008074	1	0.051243
ASV005204	1	0.049512
ASV006457	1	0.042299
ASV002230	1	0.07305299999999999
ASV000844	1	0.035347
ASV000015	1	0.060091
ASV002309	1	0.050053
ASV000187	1	0.068707
ASV001479	1	0.08041799999999999
ASV001538	1	0.068699
ASV005296	1	0.07589299999999999
ASV003248	1	0.06273300000000001
ASV000611	1	0.061796000000000004
ASV009411	1	0.036375
ASV008408	2	0.048111
ASV000279	2	0.007853
ASV002109	2	0.013125
ASV004069	2	0.015094999999999999
ASV007574	2	0.013393
ASV006367	2	0.085418
ASV000904	2	0.065822
ASV000206	2	0.05316900000000001
ASV003454	2	0.089478
ASV002599	1	0.102927
ASV000984	1	0.002625
ASV006376	1	0.16475599999999999
ASV007867	1	0.16475599999999999
ASV002108	1	0.16475599999999999
ASV003368	1	0.16475599999999999
ASV000721	1	0.051962
ASV007860	1	0.060887000000000004
ASV000283	1	0.055261000000000005
ASV000184	1	0.0031550000000000003
ASV000986	1	0.017063
ASV001099	1	0.044172
ASV001111	1	0.00695
ASV000222	1	0.00315
ASV000348	1	0.07620199999999999
ASV005318	1	0.041434
ASV001188	8	0.003166
ASV000108	1	0.003182
ASV000800	1	0.006339
ASV000398	6	0.003154
ASV002006	1	0.046604
ASV000737	1	0.045769
ASV002039	1	0.049739
ASV000346	1	0.07403
ASV005891	1	0.21933899999999998
ASV002889	1	0.181445
ASV000386	1	0.177234
ASV001257	1	0.179479
ASV006386	1	0.224171
ASV009942	1	0.18526199999999998
ASV009940	1	0.23070700000000002
ASV002358	1	0.153667
ASV002406	1	0.182539
ASV000914	1	0.132838
ASV005345	1	0.001713
ASV005459	1	0.171097
ASV002494	1	0.164604
ASV011329	1	0.17569
ASV011295	1	0.173259
ASV005501	1	0.170809
ASV003045	1	0.164378
ASV000625	1	0.16995
ASV005192	1	0.288506
ASV002453	1	0.288506
ASV007001	1	0.288506
ASV009949	1	0.288506
ASV011853	1	0.288506
ASV002129	1	0.288506
ASV005564	1	0.288506
ASV011852	1	0.288506
ASV003107	1	0.288506
ASV012421	1	0.288506
ASV006366	1	0.288506
ASV011257	1	0.288506
ASV011294	1	0.288506
ASV008072	1	0.288506
ASV005509	1	0.20058
ASV001258	1	0.189134
ASV000706	1	0.187361
ASV007873	1	0.225779
ASV002133	1	0.187306
ASV001383	1	0.19079400000000002
ASV001094	1	0.197054
ASV001158	1	0.182794
ASV016290	1	0.191754
ASV007881	1	0.22100300000000003
ASV000350	1	0.19936099999999998
ASV002501	1	0.18526800000000002
ASV000539	1	0.18495699999999998
ASV002835	1	0.207355
ASV001279	1	0.186154
ASV002665	1	0.19005999999999998
ASV001204	1	0.18713
ASV002964	1	0.18373499999999998
ASV001424	1	0.191997
ASV006749	1	0.22132399999999997
ASV009415	1	0.187115
ASV000976	1	0.186853
ASV000358	1	0.180125
ASV000266	1	0.189128
ASV000741	1	0.210304
ASV009370	1	0.19443
ASV000760	1	0.180605
ASV000237	1	0.18295
ASV000578	1	0.196363
ASV016341	1	0.198148
ASV006215	1	0.184332
ASV001135	1	0.192218
ASV001436	1	0.187628
ASV001539	1	0.19944800000000001
ASV004710	1	0.185505
ASV000092	1	0.181633
ASV000263	1	0.177791
ASV011290	1	0.18027
ASV009358	1	0.199458
ASV001493	1	0.178241
ASV002664	1	0.175093
ASV001725	1	0.180039
ASV011274	1	0.19658499999999998
ASV000709	1	0.184604
ASV001557	1	0.17949400000000001
ASV000775	1	0.181773
ASV000503	1	0.182973
ASV001358	1	0.194253
ASV007063	1	0.18698800000000002
ASV001167	1	0.184247
ASV002188	1	0.18272
ASV000558	1	0.200324
ASV016327	1	0.197492
ASV002271	1	0.19660999999999998
ASV000584	1	0.186806
ASV012441	1	0.190149
ASV000460	1	0.189492
ASV011309	1	0.193276
ASV000466	1	0.20995
ASV005190	1	0.181765
ASV000055	1	0.181748
ASV000316	1	0.19183599999999998
ASV000097	1	0.175895
ASV000448	1	0.19475399999999998
ASV002707	1	0.197947
ASV000797	1	0.197062
ASV002776	1	0.201553
ASV000649	1	0.20039200000000001
ASV000470	1	0.179599
ASV000396	1	0.180527
ASV000179	1	0.20537600000000003
ASV000084	1	0.194519
ASV000176	1	0.18195
ASV009961	1	0.182348
ASV000849	1	0.179731
ASV002176	1	0.196899
ASV000657	1	0.184378
ASV001009	1	0.186669
ASV011322	1	0.214375
ASV008242	1	0.18362
ASV007810	1	0.211748
ASV001348	1	0.196172
ASV000497	1	0.18682
ASV011265	1	0.209977
ASV000274	1	0.192252
ASV002909	1	0.200846
ASV016277	1	0.177884
ASV001309	1	0.177592
ASV012164	1	0.205089
ASV000397	1	0.179921
ASV001220	1	0.177739
ASV003226	1	0.180016
ASV001491	1	0.206231
ASV000541	1	0.205031
ASV002103	1	0.184576
ASV006745	1	0.206231
ASV001183	1	0.19205
ASV001418	1	0.192063
ASV000271	1	0.21270999999999998
ASV009938	1	0.19584400000000002
ASV000908	1	0.210285
ASV001335	1	0.20733600000000002
ASV011247	1	0.221402
ASV001070	1	0.189735
ASV000809	1	0.20781
ASV002335	1	0.21860300000000002
ASV001497	1	0.210773
ASV000685	1	0.20302
ASV001518	1	0.22069299999999997
ASV000078	1	0.212864
ASV000156	1	0.20748000000000003
ASV001085	1	0.191053
ASV011323	1	0.177688
ASV006995	1	0.174717
ASV012440	1	0.196132
ASV000452	1	0.196525
ASV007787	1	0.17793599999999998
ASV000922	1	0.203094
ASV000306	1	0.193522
ASV000164	1	0.20521
ASV001406	1	0.17995999999999998
ASV000128	1	0.194403
ASV000853	1	0.17769200000000002
ASV004800	1	0.19900299999999999
ASV007801	1	0.212725
ASV001645	1	0.178808
ASV008354	1	0.190699
ASV000178	1	0.207454
ASV001332	1	0.20764200000000002
ASV006145	1	0.19237
ASV002932	1	0.171501
ASV004946	1	0.18701500000000001
ASV000159	1	0.182539
ASV000947	1	0.18508
ASV005904	1	0.182696
ASV009371	1	0.178493
ASV004394	1	0.217964
ASV016286	1	0.20873200000000003
ASV002413	1	0.220573
ASV011301	1	0.216256
ASV001821	1	0.182348
ASV003529	1	0.18220799999999998
ASV003481	1	0.200382
ASV007254	1	0.19651400000000002
ASV007880	1	0.195305
ASV001089	1	0.173062
ASV003239	1	0.207244
ASV001319	1	0.196668
ASV000370	1	0.207979
ASV000185	1	0.191296
ASV007068	1	0.211079
ASV011276	1	0.166508
ASV004539	1	0.200546
ASV004709	1	0.19146
ASV002971	1	0.192455
ASV005293	1	0.184723
ASV003780	1	0.18475
ASV008859	1	0.20038
ASV011246	1	0.20611999999999997
ASV012153	1	0.19016
ASV006787	1	0.217513
ASV011299	1	0.18920499999999998
ASV011308	1	0.21545
ASV001683	1	0.028794
ASV001512	1	0.011646
ASV002617	1	0.028194999999999998
ASV012161	1	0.263756
ASV011251	1	0.263756
ASV007540	1	0.141505
ASV002642	1	0.157021
ASV011252	1	0.166669
ASV012434	1	0.146012
ASV004959	1	0.168267
ASV006399	1	0.147629
ASV001744	1	0.142724
ASV011313	1	0.14448
ASV011287	1	0.13742200000000002
ASV001576	1	0.142253
ASV000330	1	0.143209
ASV005950	1	0.153475
ASV001165	1	0.1515
ASV008581	1	0.16373800000000002
ASV007581	1	0.140474
ASV008477	1	0.15232300000000001
ASV003757	1	0.137848
ASV005921	1	0.14443399999999998
ASV004548	1	0.136647
ASV006704	1	0.14771800000000002
ASV007514	1	0.11755299999999999
ASV012435	1	0.162911
ASV011312	1	0.162346
ASV007792	1	0.166977
ASV012426	1	0.15671
ASV011319	1	0.15691
ASV007546	1	0.153275
ASV007785	1	0.169737
ASV000474	1	0.146929
ASV001388	1	0.13663699999999998
ASV001786	1	0.136728
ASV001437	1	0.147122
ASV009962	1	0.167349
ASV000948	1	0.141743
ASV011256	1	0.145973
ASV000524	1	0.131241
ASV000588	1	0.146563
ASV001397	1	0.147249
ASV002817	1	0.14194400000000001
ASV001128	1	0.132462
ASV001354	1	0.13253399999999999
ASV000728	1	0.134527
ASV002249	1	0.129422
ASV001619	1	0.138511
ASV000645	1	0.115155
ASV002793	1	0.13551400000000002
ASV001168	1	0.13416199999999998
ASV002348	1	0.125961
ASV000615	1	0.129519
ASV000917	1	0.135328
ASV001748	1	0.15049
ASV001504	1	0.138774
ASV001162	1	0.144868
ASV006699	1	0.12143
ASV001056	1	0.131912
ASV001726	1	0.139472
ASV001505	1	0.12403099999999999
ASV002234	1	0.134944
ASV000642	1	0.124253
ASV007804	1	0.133657
ASV012414	2	0.14405
ASV011311	5	0.057422
ASV000445	2	0.072753
ASV001341	2	0.07496699999999999
ASV011263	2	0.07216900000000001
ASV000248	2	0.070132
ASV000288	2	0.070132
ASV000565	2	0.028205
ASV008472	5	0.034031
ASV000697	5	0.014083000000000002
ASV000431	5	0.015761
ASV000277	5	0.017447999999999998
ASV009944	5	0.064662
ASV000031	5	0.001698
ASV000081	5	0.003353
ASV000094	5	0.003353
ASV006327	5	0.035581
ASV001546	5	0.010048
ASV016350	5	0.022101
ASV011806	5	0.035584
ASV009950	5	0.018728
ASV008069	5	0.068583
ASV004602	5	0.10901400000000001
ASV003342	5	0.016942
ASV003077	5	0.016886
ASV001874	5	0.035918
ASV001622	5	0.016174
ASV000002	5	0.001698
ASV001396	5	0.013493000000000002
ASV000831	5	0.006711
ASV000742	5	0.044766
ASV000632	5	0.119969
ASV000627	5	0.016922
ASV000423	5	0.006698000000000001
ASV000345	5	0.0033469999999999997
ASV000142	5	0.0033539999999999998
ASV003208	5	0.034285
ASV008353	5	0.077931
ASV011300	5	0.018724
ASV002583	2	0.026736000000000003
ASV000905	2	0.031633999999999995
ASV000076	2	0.0017010000000000003
ASV000211	2	0.011807999999999999
ASV000217	2	0.013519999999999999
ASV004080	1	0.10951099999999998
ASV002199	1	0.120621
ASV000704	1	0.030898000000000002
ASV004275	1	0.131865
ASV005376	1	0.13176600000000002
ASV006451	1	0.147463
ASV003763	1	0.15933
ASV011277	1	0.15933
ASV008103	1	0.053377999999999995
ASV008407	1	0.0709
ASV000465	1	0.059692999999999996
ASV002784	6	0.043445
ASV004289	6	0.034642
ASV000384	8	0.034573
ASV000929	8	0.032764
ASV005225	1	0.032132
ASV016335	1	0.134259
ASV011851	1	0.199356
ASV007819	1	0.16561199999999998
ASV007542	1	0.155654
ASV006999	1	0.163399
ASV011268	1	0.158458
ASV004697	1	0.167269
ASV002134	1	0.174815
ASV003503	1	0.059346
ASV008240	1	0.060113
ASV002424	1	0.061439999999999995
ASV002079	1	0.058639
ASV001349	1	0.07800900000000001
ASV002562	1	0.080676
ASV005042	1	0.073888
ASV002463	1	0.062339
ASV001801	1	0.064208
ASV000442	1	0.089193
ASV000440	1	0.085608
ASV016331	1	0.067704
ASV001047	1	0.09302300000000001
ASV000534	1	0.070251
ASV000504	1	0.07651000000000001
ASV001846	1	0.080321
ASV000075	1	0.0664
ASV003853	1	0.08307300000000001
ASV000063	1	0.06826
ASV001877	1	0.072167
ASV002584	1	0.141505
ASV002441	1	0.006639
ASV001549	1	0.001714
ASV000331	1	0.072403
ASV000089	11	0.004829
ASV000391	11	0.06915299999999999
ASV001026	11	0.04075
ASV000778	11	0.027518
ASV000782	11	0.06055
ASV000842	11	0.037182
ASV000888	11	0.050088
ASV000912	11	0.010112000000000001
ASV000921	11	0.038801
ASV000969	11	0.058823
ASV000985	11	0.008407
ASV000774	11	0.04451
ASV001042	11	0.011869
ASV001057	11	0.046158
ASV001131	11	0.011778
ASV001175	11	0.042579
ASV001178	11	0.029406
ASV001179	11	0.023854
ASV001228	11	0.048895
ASV001283	11	0.005025
ASV000630	11	0.01693
ASV000555	11	0.042797
ASV000567	11	0.036737
ASV000579	11	0.027651
ASV000581	11	0.054486
ASV000582	11	0.039049
ASV000583	11	0.048566000000000005
ASV000590	11	0.056245
ASV000607	11	0.055071
ASV001329	11	0.049904000000000004
ASV000660	11	0.038979
ASV000667	11	0.015916999999999997
ASV000676	11	0.042817
ASV000689	11	0.036763
ASV000715	11	0.042647000000000004
ASV000729	11	0.008378
ASV000755	11	0.046277
ASV003497	11	0.046387
ASV002022	11	0.054002999999999995
ASV002064	11	0.04473
ASV002197	11	0.048231
ASV002284	11	0.017006
ASV002841	11	0.040951
ASV002856	11	0.006693000000000001
ASV003042	11	0.050231
ASV003230	11	0.056075
ASV002021	11	0.046362
ASV003689	11	0.030951999999999997
ASV004893	11	0.015187
ASV005971	11	0.04222
ASV005997	11	0.046323
ASV006781	11	0.036614
ASV007064	11	0.016911000000000002
ASV008075	11	0.011759
ASV001643	11	0.054373000000000005
ASV001347	11	0.058570000000000004
ASV001350	11	0.060516999999999994
ASV001353	11	0.056292999999999996
ASV001378	11	0.050432
ASV001420	11	0.058695000000000004
ASV001431	11	0.048566000000000005
ASV001467	11	0.025689999999999998
ASV001515	11	0.050959
ASV000550	11	0.044603
ASV001650	11	0.040906
ASV001663	11	0.054372000000000004
ASV001664	11	0.060378999999999995
ASV001715	11	0.018649000000000002
ASV001771	11	0.046638
ASV001902	11	0.04844
ASV002007	11	0.03296
ASV000212	11	0.029432
ASV000699	11	0.050622
ASV000390	11	0.044877999999999994
ASV000718	11	0.05955
ASV000884	11	0.063557
ASV001268	11	0.054428
ASV000070	11	0.052095
ASV001575	11	0.046376
ASV002296	11	0.042588
ASV000372	11	0.048688999999999996
ASV000362	11	0.05485
ASV000048	11	0.048576
ASV000111	11	0.062635
ASV000832	11	0.052499000000000004
ASV001746	11	0.056327999999999996
ASV001882	11	0.050197000000000006
ASV002198	11	0.050455
ASV002222	11	0.054539
ASV001570	11	0.056289
ASV000341	11	0.060364999999999995
ASV000354	11	0.058575
ASV000573	11	0.052394
ASV000595	11	0.060280999999999994
ASV000735	11	0.062116
ASV000790	11	0.060252
