"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"S47_S47_L001_R1_001.fastq",117316,98686,94884,96597,83041,16269
"S48_S48_L001_R1_001.fastq",83841,70743,66969,68706,56954,16931
"S49_S49_L001_R1_001.fastq",44854,38944,38760,38701,37261,28812
"S5_S5_L001_R1_001.fastq",10797,8849,8759,8789,8220,3983
"S50_S50_L001_R1_001.fastq",37641,32301,32162,32147,30857,20084
"S51_S51_L001_R1_001.fastq",111422,94199,90941,92362,80252,29453
"S52_S52_L001_R1_001.fastq",50927,22646,22084,22390,18569,3936
"S53_S53_L001_R1_001.fastq",121309,100240,96196,98261,82043,17848
"S54_S54_L001_R1_001.fastq",91523,78315,75732,76917,65742,19274
"S55_S55_L001_R1_001.fastq",77779,66592,65669,65967,60980,17428
"S56_S56_L001_R1_001.fastq",38479,33316,33058,33088,30859,16545
"S57_S57_L001_R1_001.fastq",32642,28135,27957,27962,25881,13745
"S58_S58_L001_R1_001.fastq",125981,105810,102360,103781,90039,31671
"S59_S59_L001_R1_001.fastq",59895,51083,49802,50333,44578,17021
"S6_S6_L001_R1_001.fastq",36156,17234,17136,17120,15920,7654
"S60_S60_L001_R1_001.fastq",56216,48184,47459,47697,43417,24140
"S61_S61_L001_R1_001.fastq",36677,31481,31429,31434,31191,30715
"S62_S62_L001_R1_001.fastq",124567,105227,100209,102567,83258,16050
"S63_S63_L001_R1_001.fastq",126040,105313,101806,103244,87412,17746
"S64_S64_L001_R1_001.fastq",74170,62813,59496,60884,47863,8830
"S65_S65_L001_R1_001.fastq",111725,95882,92384,93964,77401,16257
"S66_S66_L001_R1_001.fastq",23188,20063,19926,19928,18349,7927
"S67_S67_L001_R1_001.fastq",44713,38683,38424,38489,35629,15080
"S68_S68_L001_R1_001.fastq",93007,78814,76235,77413,66315,24454
"S69_S69_L001_R1_001.fastq",85851,73061,70529,71714,60479,19964
"S7_S7_L001_R1_001.fastq",30603,25522,25353,25344,23750,11717
"S70_S70_L001_R1_001.fastq",103019,86035,84285,84760,77011,28084
"S71_S71_L001_R1_001.fastq",47289,41076,40731,40821,37428,15515
"S72_S72_L001_R1_001.fastq",39548,33943,33665,33705,30851,13501
"S73_S73_L001_R1_001.fastq",33108,27649,27452,27496,25600,11981
"S74_S74_L001_R1_001.fastq",65192,54946,54511,54642,50448,24369
"S75_S75_L001_R1_001.fastq",59695,50537,50101,50162,45860,21336
"S76_S76_L001_R1_001.fastq",38897,33777,33571,33595,31136,15257
"S77_S77_L001_R1_001.fastq",38640,33863,33585,33633,31001,19597
"S78_S78_L001_R1_001.fastq",37735,32543,32257,32308,30029,18941
"S79_S79_L001_R1_001.fastq",23204,19909,19734,19757,18208,11947
"S8_S8_L001_R1_001.fastq",43677,37766,37532,37532,35028,15897
"S80_S80_L001_R1_001.fastq",52574,44538,44275,43962,42279,39073
"S81_S81_L001_R1_001.fastq",68729,58977,58556,58630,54621,26083
"S82_S82_L001_R1_001.fastq",49766,42949,42585,42637,39251,19515
"S83_S83_L001_R1_001.fastq",47164,40976,40694,40663,37813,19775
"S84_S84_L001_R1_001.fastq",65987,56456,55899,56071,51542,21914
"S85_S85_L001_R1_001.fastq",55085,47344,46998,47106,43849,20199
"S86_S86_L001_R1_001.fastq",55813,47500,47197,47285,44145,20522
"S87_S87_L001_R1_001.fastq",31514,26894,26792,26771,25807,19210
"S88_S88_L001_R1_001.fastq",46006,39821,39648,39591,37451,26762
"S89_S89_L001_R1_001.fastq",36684,31285,31195,31156,30456,25830
"S9_S9_L001_R1_001.fastq",42222,36631,36367,36442,33893,14703
"S90_S90_L001_R1_001.fastq",42977,36816,36573,36634,34328,16858
"S91_S91_L001_R1_001.fastq",41239,35232,34938,34994,31881,14030
"S92_S92_L001_R1_001.fastq",38357,32867,32568,32633,29775,12702
"S93_S93_L001_R1_001.fastq",42673,36493,36208,36267,33055,15535
"S94_S94_L001_R1_001.fastq",191,114,112,110,90,87
"S95_S95_L001_R1_001.fastq",216,125,124,122,112,103
"S96_S96_L001_R1_001.fastq",124,41,35,37,27,17
"S97_S97_L001_R1_001.fastq",47208,40381,40055,40136,36943,19412
"S98_S98_L001_R1_001.fastq",23043,19798,19631,19665,17922,8198
"S99_S99_L001_R1_001.fastq",19518,16671,16548,16528,15222,9504
