,NoC,NoC,NoC,NoC,NoC,NoC,NoC,NoC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,PET,PET,PET,PET,PET,PET,PET,PET,WPET,WPET,WPET,WPET,WPET,WPET,WPET,WPET,BHET,BHET,BHET,BHET,BHET,BHET,BHET,BHET
,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community,NoInoc,NoInoc,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community,Community,Community,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community
,D42_01a,D42_01b,D42_03a,D42_03b,D42_04a,D42_04b,D42_06a,D42_06b,D42_07a,D42_07b,D42_08a,D42_08b,D42_09a,D42_09b,D42_10a,D42_10b,D42_11a,D42_11b,D42_12a,D42_12b,D42_13a,D42_13b,D42_15a,D42_15b,D42_16a,D42_16b,D42_18a,D42_18b,D42_19a,D42_19b,D42_21a,D42_21b,D42_22a,D42_22b,D42_24a,D42_24b,D42_25a,D42_25b,D42_27a,D42_27b,D42_28a,D42_28b,D42_30a,D42_30b
c13,5.464283919,5.36812162,5.973459678,5.964866117,5.892457798,5.849983677,5.9538164,5.818336987,5.97534925,5.766800872,6.070650226,5.943292517,5.880181766,5.840383321,5.949415506,6.092661133,5.891087211,5.865398584,5.838413791,5.847436463,6.066677278,6.381668638,5.978537269,6.423552957,6.02700304,5.973090698,5.929605547,5.9940748,6.100468212,6.373385144,6.008282774,5.859322955,5.844832536,5.842063032,5.94900144,6.312731113,5.991269879,5.575808592,5.766310222,5.704321322,5.447396195,5.574969029,5.495719994,5.513088936
c14,5.52106076,6.308341397,5.988419051,5.790237138,6.053649181,5.776772807,6.087260091,5.959455481,5.879159697,6.526266097,5.956871685,6.555540197,5.94162037,6.546479359,5.850945781,6.564559962,5.945999892,6.461521225,5.741646852,6.463697165,6.22917813,6.997556477,6.993336813,6.058347728,6.044354396,6.153750392,6.068151254,5.900214613,6.288523824,6.858531747,6.896981806,6.053549205,5.692755176,6.59246592,6.743579264,6.05134216,5.836208437,6.43364131,6.001807599,6.565052639,6.546477952,5.784170997,5.568151629,5.669036404
c15,5.673713463,5.722343147,6.241635914,6.215488279,6.282553705,6.195643046,6.240094163,6.28441126,6.194453366,6.065575231,6.218053894,6.112965859,6.267824346,6.174705946,6.272822776,6.264625247,6.273352918,6.142884817,6.242745411,6.133196528,6.272335494,6.277853632,6.266824791,6.275250467,6.255489633,6.203811014,6.256772202,6.25852469,6.253593648,6.277278957,6.288646419,6.225159697,6.161253936,6.184259894,6.213709636,6.286221303,5.946692335,5.855011308,6.024589021,5.989299362,5.927350257,5.928764823,5.917796093,5.923757947
c16,5.785101149,5.815173606,6.400049076,6.397656956,6.411746044,6.29902218,6.4032346,6.417111915,6.44908652,6.359547624,6.462998366,6.322755006,6.408659726,6.302449114,6.456752691,6.434808577,6.486860717,6.362597464,6.454130808,6.37351984,6.423219209,6.414833341,6.3628099,6.40630605,6.361404059,6.278733198,6.397988797,6.410902623,6.404986851,6.39561284,6.412880385,6.342784456,6.323285546,6.319488727,6.456040836,6.544693996,6.101644183,5.996372895,6.185955927,6.100719473,6.091785424,6.01656418,6.048167505,6.043674972
c17,3.189507787,3.110594233,3.709494879,3.585832952,3.608556045,3.388268271,3.66666127,3.551073822,3.499731415,3.299412942,3.617615392,3.403542897,3.553487155,3.3764738,3.463419621,3.334088593,3.530680115,3.317052228,3.435748622,3.28379182,3.795056002,3.655954904,3.824741174,3.754624899,3.690017835,3.526511103,3.725626459,3.596886418,3.795689974,3.639316392,3.779585388,3.593814316,3.435616113,3.427900869,3.591530167,3.597197929,7.438318405,7.350099868,6.789886145,7.386578077,7.52790736,7.503067827,7.515634011,7.53150392
c18,3.258967399,3.193012041,3.783344904,3.669918298,3.68691585,3.449282397,3.748429321,3.643372856,3.582024817,3.3811586,3.696451887,3.464172984,3.621781224,3.442128884,3.528768694,3.430157647,3.583662313,3.384439281,3.518294,3.368978239,3.865762523,3.730006063,3.880963731,3.806247152,3.757431236,3.61831577,3.775914689,3.661767992,3.826816423,3.734548016,3.812720431,3.673223358,3.543007903,3.526162118,3.665844663,3.689914591,4.694013756,4.671682044,4.514348283,4.468052674,6.329456024,6.250017576,6.291986376,6.245032325
c19,3.75291821,3.612233626,4.267438211,4.089967506,4.182256742,3.886481609,4.226363019,4.060359608,4.089995334,3.830968072,4.185876187,3.91645,4.098893992,3.900578016,4.00319058,3.869630856,4.107612256,3.825106085,4.027349936,3.790240978,4.30935089,4.164311165,4.332489802,4.248164743,4.196785726,4.040634961,4.189540935,4.090426583,4.276288851,4.151824191,4.254829582,4.105123616,3.949932077,3.931898491,4.114645938,4.10657703,7.310086306,7.217974325,7.297882,7.204552251,6.899096127,6.901813557,7.160374582,7.177932098
c20,5.411388733,5.538618821,6.10501285,6.094720339,6.099852611,6.025252109,6.126739395,6.125080154,6.165560589,5.999769805,6.169663103,5.946981991,6.141382788,5.992601856,6.161546104,6.166548468,6.180665895,6.032278471,6.167285584,6.122793134,6.126426128,6.133887842,6.079587899,6.131053245,6.025644121,6.016270755,6.112632834,6.079624895,6.103641757,6.108412205,6.069700325,5.946859703,6.015819511,6.093090837,6.211989059,6.178470455,5.833349899,5.675175862,5.848012427,5.769986475,5.805633493,5.68931132,5.778762922,5.75932899
c21,6.364774253,6.391326054,6.967881951,6.973367364,7.001259894,6.892755077,7.011073148,7.019228128,7.000554589,6.917810881,7.011652943,6.879065167,6.994250499,6.909156298,7.048402265,7.047462288,7.042687728,6.928944156,7.064303186,6.970578664,6.98674729,7.031781642,6.987540012,6.989262618,7.030116643,6.914935515,7.08578436,6.991138748,7.012377569,7.014261866,7.023236185,6.901127491,6.931276522,6.946110219,7.058365207,7.082750681,6.688818899,6.559356321,6.798577747,6.687846932,6.66101883,6.618444902,6.688578934,6.660866812
c22,5.512918575,5.536511152,6.097101225,6.070660868,6.074031382,5.990385008,6.095824764,6.090395797,6.093932971,6.039721436,6.165697402,6.031956921,6.104146389,6.035062018,6.161015052,6.204317866,6.166070961,6.049031812,6.198033,6.095219514,6.12926047,6.006385542,6.061823365,6.094720486,6.0506571,6.001991735,6.112009671,6.058126427,6.0911958,6.084997925,6.066428135,6.038330289,5.98954406,6.041385059,6.068458346,6.178074194,5.785719436,5.656547603,5.83481681,5.836378443,5.707784409,5.760283311,5.72333171,5.737409714
