Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Characteristics[environment type]	Term Source REF	Term Accession Number	Characteristics[latitude]	Unit	Term Source REF	Term Accession Number	Characteristics[longitude]	Unit	Term Source REF	Term Accession Number	Characteristics[depth]	Unit	Term Source REF	Term Accession Number	Comment[cruise id]	Comment[cruise station]	Protocol REF	Comment[niskin bottle id]	Protocol REF	Sample Name	Factor Value[project]	Factor Value[collection time]
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	46.312	degree	UO	UO:0000185	-39.658	degree	UO	UO:0000185	153	meter	UO	UO:0000008	PE319	12	Sample collection	631814	DNA extraction	S0012	GEOTRACES	2010-05-12T20:39:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	46.312	degree	UO	UO:0000185	-39.658	degree	UO	UO:0000185	198	meter	UO	UO:0000008	PE319	12	Sample collection	631811	DNA extraction	S0013	GEOTRACES	2010-05-12T20:39:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	36.2067	degree	UO	UO:0000185	-53.2681	degree	UO	UO:0000185	8	meter	UO	UO:0000008	PE319	16	Sample collection	632891	DNA extraction	S0015	GEOTRACES	2010-05-20T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	36.2067	degree	UO	UO:0000185	-53.2681	degree	UO	UO:0000185	50	meter	UO	UO:0000008	PE319	16	Sample collection	632885	DNA extraction	S0016	GEOTRACES	2010-05-20T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	36.2067	degree	UO	UO:0000185	-53.2681	degree	UO	UO:0000185	74	meter	UO	UO:0000008	PE319	16	Sample collection	632882	DNA extraction	S0017	GEOTRACES	2010-05-20T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	36.2067	degree	UO	UO:0000185	-53.2681	degree	UO	UO:0000185	102	meter	UO	UO:0000008	PE319	16	Sample collection	632879	DNA extraction	S0018	GEOTRACES	2010-05-20T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	36.2067	degree	UO	UO:0000185	-53.2681	degree	UO	UO:0000185	151	meter	UO	UO:0000008	PE319	16	Sample collection	632876	DNA extraction	S0019	GEOTRACES	2010-05-20T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	36.2067	degree	UO	UO:0000185	-53.2681	degree	UO	UO:0000185	199	meter	UO	UO:0000008	PE319	16	Sample collection	632873	DNA extraction	S0020	GEOTRACES	2010-05-20T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	37.5673	degree	UO	UO:0000185	-50.6855	degree	UO	UO:0000185	10	meter	UO	UO:0000008	PE319	15	Sample collection	632459	DNA extraction	S0021	GEOTRACES	2010-05-18T13:22:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	37.5673	degree	UO	UO:0000185	-50.6855	degree	UO	UO:0000185	52	meter	UO	UO:0000008	PE319	15	Sample collection	632453	DNA extraction	S0022	GEOTRACES	2010-05-18T13:22:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	37.5673	degree	UO	UO:0000185	-50.6855	degree	UO	UO:0000185	75	meter	UO	UO:0000008	PE319	15	Sample collection	632450	DNA extraction	S0023	GEOTRACES	2010-05-18T13:22:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	37.5673	degree	UO	UO:0000185	-50.6855	degree	UO	UO:0000185	103	meter	UO	UO:0000008	PE319	15	Sample collection	632447	DNA extraction	S0024	GEOTRACES	2010-05-18T13:22:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	37.5673	degree	UO	UO:0000185	-50.6855	degree	UO	UO:0000185	151	meter	UO	UO:0000008	PE319	15	Sample collection	632444	DNA extraction	S0025	GEOTRACES	2010-05-18T13:22:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	37.5673	degree	UO	UO:0000185	-50.6855	degree	UO	UO:0000185	201	meter	UO	UO:0000008	PE319	15	Sample collection	632441	DNA extraction	S0026	GEOTRACES	2010-05-18T13:22:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	34.3277	degree	UO	UO:0000185	-55.4316	degree	UO	UO:0000185	10	meter	UO	UO:0000008	PE319	17	Sample collection	632129	DNA extraction	S0027	GEOTRACES	2010-05-21T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	34.3277	degree	UO	UO:0000185	-55.4316	degree	UO	UO:0000185	50	meter	UO	UO:0000008	PE319	17	Sample collection	632123	DNA extraction	S0028	GEOTRACES	2010-05-21T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	34.3277	degree	UO	UO:0000185	-55.4316	degree	UO	UO:0000185	77	meter	UO	UO:0000008	PE319	17	Sample collection	632120	DNA extraction	S0029	GEOTRACES	2010-05-21T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	34.3277	degree	UO	UO:0000185	-55.4316	degree	UO	UO:0000185	103	meter	UO	UO:0000008	PE319	17	Sample collection	632117	DNA extraction	S0030	GEOTRACES	2010-05-21T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	34.3277	degree	UO	UO:0000185	-55.4316	degree	UO	UO:0000185	152	meter	UO	UO:0000008	PE319	17	Sample collection	632114	DNA extraction	S0031	GEOTRACES	2010-05-21T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	34.3277	degree	UO	UO:0000185	-55.4316	degree	UO	UO:0000185	199	meter	UO	UO:0000008	PE319	17	Sample collection	632111	DNA extraction	S0032	GEOTRACES	2010-05-21T13:30:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	13.1623	degree	UO	UO:0000185	-53.4215	degree	UO	UO:0000185	9	meter	UO	UO:0000008	PE321	33	Sample collection	636587	DNA extraction	S0033	GEOTRACES	2010-06-26T12:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	13.1623	degree	UO	UO:0000185	-53.4215	degree	UO	UO:0000185	75	meter	UO	UO:0000008	PE321	33	Sample collection	636578	DNA extraction	S0034	GEOTRACES	2010-06-26T12:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	13.1623	degree	UO	UO:0000185	-53.4215	degree	UO	UO:0000185	99	meter	UO	UO:0000008	PE321	33	Sample collection	636575	DNA extraction	S0035	GEOTRACES	2010-06-26T12:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	13.1623	degree	UO	UO:0000185	-53.4215	degree	UO	UO:0000185	150	meter	UO	UO:0000008	PE321	33	Sample collection	636572	DNA extraction	S0036	GEOTRACES	2010-06-26T12:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	13.1623	degree	UO	UO:0000185	-53.4215	degree	UO	UO:0000185	200	meter	UO	UO:0000008	PE321	33	Sample collection	636569	DNA extraction	S0037	GEOTRACES	2010-06-26T12:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	9.5462	degree	UO	UO:0000185	-50.4686	degree	UO	UO:0000185	9	meter	UO	UO:0000008	PE321	35	Sample collection	634616	DNA extraction	S0039	GEOTRACES	2010-06-28T14:16:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	9.5462	degree	UO	UO:0000185	-50.4686	degree	UO	UO:0000185	72	meter	UO	UO:0000008	PE321	35	Sample collection	634607	DNA extraction	S0040	GEOTRACES	2010-06-28T14:16:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	9.5462	degree	UO	UO:0000185	-50.4686	degree	UO	UO:0000185	100	meter	UO	UO:0000008	PE321	35	Sample collection	634604	DNA extraction	S0041	GEOTRACES	2010-06-28T14:16:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	9.5462	degree	UO	UO:0000185	-50.4686	degree	UO	UO:0000185	151	meter	UO	UO:0000008	PE321	35	Sample collection	634601	DNA extraction	S0042	GEOTRACES	2010-06-28T14:16:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	9.5462	degree	UO	UO:0000185	-50.4686	degree	UO	UO:0000185	201	meter	UO	UO:0000008	PE321	35	Sample collection	634598	DNA extraction	S0043	GEOTRACES	2010-06-28T14:16:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	16.8312	degree	UO	UO:0000185	-56.2685	degree	UO	UO:0000185	8	meter	UO	UO:0000008	PE321	31	Sample collection	636299	DNA extraction	S0044	GEOTRACES	2010-06-24T15:06:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	16.8312	degree	UO	UO:0000185	-56.2685	degree	UO	UO:0000185	76	meter	UO	UO:0000008	PE321	31	Sample collection	636290	DNA extraction	S0045	GEOTRACES	2010-06-24T15:06:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	16.8312	degree	UO	UO:0000185	-56.2685	degree	UO	UO:0000185	101	meter	UO	UO:0000008	PE321	31	Sample collection	636287	DNA extraction	S0046	GEOTRACES	2010-06-24T15:06:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	16.8312	degree	UO	UO:0000185	-56.2685	degree	UO	UO:0000185	150	meter	UO	UO:0000008	PE321	31	Sample collection	636284	DNA extraction	S0047	GEOTRACES	2010-06-24T15:06:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	16.8312	degree	UO	UO:0000185	-56.2685	degree	UO	UO:0000185	201	meter	UO	UO:0000008	PE321	31	Sample collection	636281	DNA extraction	S0048	GEOTRACES	2010-06-24T15:06:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	35.41617	degree	UO	UO:0000185	-66.54077	degree	UO	UO:0000185	31.3	meter	UO	UO:0000008	KN204	8	Sample collection	844604	DNA extraction	S0049	GEOTRACES	2011-11-16T13:59:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	35.41617	degree	UO	UO:0000185	-66.54077	degree	UO	UO:0000185	68	meter	UO	UO:0000008	KN204	8	Sample collection	844607	DNA extraction	S0050	GEOTRACES	2011-11-16T13:59:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	35.41617	degree	UO	UO:0000185	-66.54077	degree	UO	UO:0000185	111.1	meter	UO	UO:0000008	KN204	8	Sample collection	844610	DNA extraction	S0051	GEOTRACES	2011-11-16T13:59:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	35.41617	degree	UO	UO:0000185	-66.54077	degree	UO	UO:0000185	135.8	meter	UO	UO:0000008	KN204	8	Sample collection	844613	DNA extraction	S0052	GEOTRACES	2011-11-16T13:59:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	35.41617	degree	UO	UO:0000185	-66.54077	degree	UO	UO:0000185	186.3	meter	UO	UO:0000008	KN204	8	Sample collection	844616	DNA extraction	S0053	GEOTRACES	2011-11-16T13:59:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	35.41617	degree	UO	UO:0000185	-66.54077	degree	UO	UO:0000185	237.3	meter	UO	UO:0000008	KN204	8	Sample collection	844619	DNA extraction	S0054	GEOTRACES	2011-11-16T13:59:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	35.41617	degree	UO	UO:0000185	-66.54077	degree	UO	UO:0000185	291.5	meter	UO	UO:0000008	KN204	8	Sample collection	844622	DNA extraction	S0055	GEOTRACES	2011-11-16T13:59:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	24.1497	degree	UO	UO:0000185	-40.21786	degree	UO	UO:0000185	38.9	meter	UO	UO:0000008	KN204	18	Sample collection	846086	DNA extraction	S0057	GEOTRACES	2011-12-01T17:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	24.1497	degree	UO	UO:0000185	-40.21786	degree	UO	UO:0000185	65.2	meter	UO	UO:0000008	KN204	18	Sample collection	846089	DNA extraction	S0058	GEOTRACES	2011-12-01T17:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	24.1497	degree	UO	UO:0000185	-40.21786	degree	UO	UO:0000185	75.1	meter	UO	UO:0000008	KN204	18	Sample collection	846092	DNA extraction	S0059	GEOTRACES	2011-12-01T17:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	24.1497	degree	UO	UO:0000185	-40.21786	degree	UO	UO:0000185	113.9	meter	UO	UO:0000008	KN204	18	Sample collection	846095	DNA extraction	S0060	GEOTRACES	2011-12-01T17:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	24.1497	degree	UO	UO:0000185	-40.21786	degree	UO	UO:0000185	184	meter	UO	UO:0000008	KN204	18	Sample collection	846101	DNA extraction	S0061	GEOTRACES	2011-12-01T17:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	24.1497	degree	UO	UO:0000185	-40.21786	degree	UO	UO:0000185	233	meter	UO	UO:0000008	KN204	18	Sample collection	846104	DNA extraction	S0062	GEOTRACES	2011-12-01T17:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	24.1497	degree	UO	UO:0000185	-40.21786	degree	UO	UO:0000185	283.9	meter	UO	UO:0000008	KN204	18	Sample collection	846107	DNA extraction	S0063	GEOTRACES	2011-12-01T17:25:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	38.65497	degree	UO	UO:0000185	-69.13131	degree	UO	UO:0000185	28.4	meter	UO	UO:0000008	KN204	3	Sample collection	845300	DNA extraction	S0064	GEOTRACES	2011-11-10T14:23:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	38.65497	degree	UO	UO:0000185	-69.13131	degree	UO	UO:0000185	61.2	meter	UO	UO:0000008	KN204	3	Sample collection	845303	DNA extraction	S0065	GEOTRACES	2011-11-10T14:23:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	38.65497	degree	UO	UO:0000185	-69.13131	degree	UO	UO:0000185	86.4	meter	UO	UO:0000008	KN204	3	Sample collection	845306	DNA extraction	S0066	GEOTRACES	2011-11-10T14:23:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	38.65497	degree	UO	UO:0000185	-69.13131	degree	UO	UO:0000185	108.8	meter	UO	UO:0000008	KN204	3	Sample collection	845309	DNA extraction	S0067	GEOTRACES	2011-11-10T14:23:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	38.65497	degree	UO	UO:0000185	-69.13131	degree	UO	UO:0000185	135.6	meter	UO	UO:0000008	KN204	3	Sample collection	845312	DNA extraction	S0068	GEOTRACES	2011-11-10T14:23:00
