study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA385854	SAMN07136660	SRX2974715	SRR5788017	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788017/SRR5788017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788017/SRR5788017_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/007/SRR5788017
PRJNA385854	SAMN07136659	SRX2974714	SRR5788018	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788018/SRR5788018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788018/SRR5788018_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/008/SRR5788018
PRJNA385854	SAMN07136658	SRX2974713	SRR5788019	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788019/SRR5788019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788019/SRR5788019_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/009/SRR5788019
PRJNA385854	SAMN07136657	SRX2974712	SRR5788020	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788020/SRR5788020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788020/SRR5788020_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/000/SRR5788020
PRJNA385854	SAMN07136656	SRX2974711	SRR5788021	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788021/SRR5788021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788021/SRR5788021_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/001/SRR5788021
PRJNA385854	SAMN07136655	SRX2974710	SRR5788022	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788022/SRR5788022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788022/SRR5788022_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/002/SRR5788022
PRJNA385854	SAMN07136654	SRX2974709	SRR5788023	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788023/SRR5788023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788023/SRR5788023_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/003/SRR5788023
PRJNA385854	SAMN07136653	SRX2974708	SRR5788024	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788024/SRR5788024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788024/SRR5788024_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/004/SRR5788024
PRJNA385854	SAMN07136571	SRX2974707	SRR5788025	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788025/SRR5788025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788025/SRR5788025_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/005/SRR5788025
PRJNA385854	SAMN07136919	SRX2974706	SRR5788026	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788026/SRR5788026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788026/SRR5788026_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/006/SRR5788026
PRJNA385854	SAMN07136920	SRX2974705	SRR5788027	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788027/SRR5788027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788027/SRR5788027_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/007/SRR5788027
PRJNA385854	SAMN07136917	SRX2974704	SRR5788028	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788028/SRR5788028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788028/SRR5788028_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/008/SRR5788028
PRJNA385854	SAMN07136918	SRX2974703	SRR5788029	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788029/SRR5788029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788029/SRR5788029_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/009/SRR5788029
PRJNA385854	SAMN07136915	SRX2974702	SRR5788030	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788030/SRR5788030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788030/SRR5788030_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/000/SRR5788030
PRJNA385854	SAMN07136916	SRX2974701	SRR5788031	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788031/SRR5788031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788031/SRR5788031_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/001/SRR5788031
PRJNA385854	SAMN07136913	SRX2974700	SRR5788032	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788032/SRR5788032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788032/SRR5788032_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/002/SRR5788032
PRJNA385854	SAMN07136914	SRX2974699	SRR5788033	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788033/SRR5788033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788033/SRR5788033_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/003/SRR5788033
PRJNA385854	SAMN07136921	SRX2974698	SRR5788034	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788034/SRR5788034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788034/SRR5788034_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/004/SRR5788034
PRJNA385854	SAMN07136922	SRX2974697	SRR5788035	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788035/SRR5788035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788035/SRR5788035_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/005/SRR5788035
PRJNA385854	SAMN07136557	SRX2974696	SRR5788036	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788036/SRR5788036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788036/SRR5788036_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/006/SRR5788036
PRJNA385854	SAMN07136735	SRX2974695	SRR5788037	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788037/SRR5788037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788037/SRR5788037_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/007/SRR5788037
PRJNA385854	SAMN07136736	SRX2974694	SRR5788038	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788038/SRR5788038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788038/SRR5788038_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/008/SRR5788038
PRJNA385854	SAMN07136733	SRX2974693	SRR5788039	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788039/SRR5788039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788039/SRR5788039_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/009/SRR5788039
PRJNA385854	SAMN07136734	SRX2974692	SRR5788040	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788040/SRR5788040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788040/SRR5788040_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/000/SRR5788040
PRJNA385854	SAMN07136739	SRX2974691	SRR5788041	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788041/SRR5788041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788041/SRR5788041_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/001/SRR5788041
PRJNA385854	SAMN07136740	SRX2974690	SRR5788042	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788042/SRR5788042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788042/SRR5788042_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/002/SRR5788042
PRJNA385854	SAMN07136737	SRX2974689	SRR5788043	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788043/SRR5788043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788043/SRR5788043_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/003/SRR5788043
PRJNA385854	SAMN07136738	SRX2974688	SRR5788044	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788044/SRR5788044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788044/SRR5788044_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/004/SRR5788044
PRJNA385854	SAMN07136741	SRX2974687	SRR5788045	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788045/SRR5788045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788045/SRR5788045_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/005/SRR5788045
PRJNA385854	SAMN07136742	SRX2974686	SRR5788046	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788046/SRR5788046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788046/SRR5788046_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/006/SRR5788046
PRJNA385854	SAMN07136692	SRX2974685	SRR5788047	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788047/SRR5788047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788047/SRR5788047_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/007/SRR5788047
PRJNA385854	SAMN07136691	SRX2974684	SRR5788048	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788048/SRR5788048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788048/SRR5788048_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/008/SRR5788048
PRJNA385854	SAMN07136811	SRX2974683	SRR5788049	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788049/SRR5788049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788049/SRR5788049_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/009/SRR5788049
PRJNA385854	SAMN07136812	SRX2974682	SRR5788050	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788050/SRR5788050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788050/SRR5788050_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/000/SRR5788050
PRJNA385854	SAMN07136809	SRX2974681	SRR5788051	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788051/SRR5788051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788051/SRR5788051_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/001/SRR5788051
PRJNA385854	SAMN07136810	SRX2974680	SRR5788052	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788052/SRR5788052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788052/SRR5788052_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/002/SRR5788052
PRJNA385854	SAMN07136807	SRX2974679	SRR5788053	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788053/SRR5788053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788053/SRR5788053_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/003/SRR5788053
PRJNA385854	SAMN07136808	SRX2974678	SRR5788054	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788054/SRR5788054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788054/SRR5788054_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/004/SRR5788054
PRJNA385854	SAMN07136805	SRX2974677	SRR5788055	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788055/SRR5788055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788055/SRR5788055_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/005/SRR5788055
PRJNA385854	SAMN07136806	SRX2974676	SRR5788056	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788056/SRR5788056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788056/SRR5788056_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/006/SRR5788056
PRJNA385854	SAMN07136803	SRX2974675	SRR5788057	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788057/SRR5788057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788057/SRR5788057_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/007/SRR5788057
PRJNA385854	SAMN07136804	SRX2974674	SRR5788058	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788058/SRR5788058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788058/SRR5788058_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/008/SRR5788058
PRJNA385854	SAMN07136690	SRX2974673	SRR5788059	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788059/SRR5788059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788059/SRR5788059_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/009/SRR5788059
PRJNA385854	SAMN07136689	SRX2974672	SRR5788060	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788060/SRR5788060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788060/SRR5788060_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/000/SRR5788060
PRJNA385854	SAMN07136551	SRX2974671	SRR5788061	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788061/SRR5788061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788061/SRR5788061_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/001/SRR5788061
