sequence,pcaG,pcaH,PETase,tphA2,tphA3,tphB
ASV000472,0,0,0,0,0,0
ASV000473,0,0,0,0,0,0
ASV000474,0,0,0,0,0,0
ASV000475,0,0,0,0,0,0
ASV000476,0,0,0,0,0,0
ASV000477,0,0,0,0,0,0
ASV000478,0,0,0,0,0,0
ASV000479,0,0,0,0,0,0
ASV000480,0,0,0,0,0,0
ASV000481,0,0,0,0,0,0
ASV000482,0,0,0,0,0,1
ASV000483,0,0,0,0,0,0
ASV000484,0,0,0,0,0,0
ASV000485,0,0,0,0,0,1
ASV000486,3,3,2,1,0,0
ASV000487,0,0,0,0,0,1
ASV000488,0,0,0,0,0,0
ASV000489,0,0,0,0,0,0
ASV000490,0,0,0,0,0,0
ASV000491,0,0,0,0,0,0
ASV000492,0,0,0,0,0,0
ASV000493,0,0,0,0,0,0
ASV000494,0,0,0,0,0,0
ASV000495,2,2,0,1,0,0
ASV000496,2,1,0,0,0,0
ASV000497,0,0,0,0,0,0
ASV000498,2,2,0,0,0,0
ASV000499,0,0,0,0,0,0
ASV000500,0,0,0,1,0,0
ASV000501,0,0,0,0,0,0
ASV000502,0,0,0,0,0,0
ASV000503,0,0,0,0,0,0
ASV000504,0,0,0,0,0,0
ASV000505,0,0,0,1,0,0
ASV000506,0,0,0,0,0,0
ASV000507,0,0,0,1,0,1
ASV000508,0,0,0,0,0,0
ASV000509,0,0,0,1,0,0
ASV000510,0,0,0,0,0,0
ASV000511,0,0,0,0,0,0
ASV000512,0,0,0,0,0,0
ASV000513,0,0,0,0,0,0
ASV000514,0,0,0,0,0,0
ASV000515,0,0,0,2,0,0
ASV000516,0,0,0,0,0,0
ASV000517,0,0,0,0,0,0
ASV000518,0,0,0,0,0,0
ASV000519,0,0,0,0,0,0
ASV000520,0,0,0,0,0,0
ASV000521,0,0,0,0,0,0
ASV000522,0,0,0,0,0,0
ASV000523,0,0,0,0,0,0
ASV000524,0,0,0,0,0,0
ASV000525,0,0,0,0,0,0
ASV000526,0,0,0,0,0,0
ASV000527,0,0,0,0,0,0
ASV000528,2,2,0,1,0,0
ASV000529,0,1,0,0,0,0
ASV000530,0,0,0,0,0,0
ASV000531,0,0,0,0,0,0
ASV000532,0,0,0,0,0,0
ASV000533,2,2,0,1,0,0
ASV000534,0,0,0,0,0,0
ASV000535,3,3,0,3,0,0
ASV000536,0,0,0,0,0,0
ASV000537,2,2,0,0,0,1
ASV000538,0,0,0,0,0,0
ASV000539,0,0,0,3,0,0
ASV000540,0,0,0,0,0,0
ASV000541,0,0,0,0,0,0
ASV000542,0,0,0,0,0,0
ASV000543,2,2,0,1,0,0
ASV000544,0,0,0,0,0,0
ASV000545,0,0,0,0,0,0
ASV000546,0,0,0,0,0,0
ASV000547,0,0,0,0,0,0
ASV000548,0,0,0,0,0,0
ASV000549,0,0,0,0,0,0
ASV000550,0,0,0,0,0,0
ASV000551,1,1,0,1,0,0
ASV000552,2,2,0,0,0,1
ASV000553,0,0,0,1,0,0
ASV000554,0,0,0,0,0,0
ASV000555,0,0,0,0,0,0
ASV000556,0,0,0,0,0,0
ASV000557,0,0,0,0,0,0
ASV000558,0,0,0,0,0,0
ASV000559,0,1,0,0,0,0
ASV000560,0,0,0,0,0,0
ASV000561,0,0,0,5,0,0
ASV000562,0,0,0,0,0,0
ASV000563,0,0,0,0,0,0
ASV000564,0,0,0,0,0,0
ASV000565,0,0,0,0,0,0
ASV000566,0,0,0,0,0,0
ASV000567,0,0,0,0,0,0
ASV000568,0,0,0,0,0,0
ASV000569,5,5,0,0,0,1
ASV000570,0,0,0,0,0,1
ASV000571,0,0,0,0,0,0
ASV000572,1,1,0,0,0,0
ASV000573,0,0,0,0,0,0
ASV000574,0,0,0,0,0,0
ASV000575,0,0,0,0,0,0
ASV000576,0,0,0,0,0,0
ASV000577,0,0,0,0,0,0
ASV000578,0,0,0,1,0,0
ASV000579,0,0,0,0,0,0
ASV000580,0,0,0,0,0,0
ASV000581,0,0,0,0,0,0
ASV000582,0,0,0,0,0,0
ASV000583,0,0,0,0,0,0
ASV000584,0,0,0,0,0,0
ASV000585,0,0,0,0,0,0
ASV000586,0,0,0,0,0,0
ASV000587,0,0,0,0,0,1
ASV000588,0,0,0,0,0,0
ASV000589,0,0,0,0,0,0
ASV000590,0,0,0,0,0,0
ASV000591,0,0,0,0,0,0
ASV000592,0,0,0,0,0,0
ASV000593,0,0,0,0,0,0
ASV000594,0,0,0,0,0,0
ASV000595,0,0,0,0,0,0
ASV000596,0,0,0,0,0,0
ASV000597,0,0,0,0,0,0
ASV000598,0,0,0,0,0,0
ASV000599,0,0,0,1,0,0
ASV000600,0,0,0,0,0,0
ASV000601,0,0,0,1,0,0
ASV000602,4,4,0,9,0,8
ASV000603,2,2,0,1,0,0
ASV000604,0,0,0,0,0,0
ASV000605,0,0,0,0,0,0
ASV000606,0,0,0,0,0,0
ASV000607,0,0,0,0,0,0
ASV000608,0,0,0,0,0,0
ASV000609,1,1,0,1,0,0
ASV000610,2,2,1,1,0,0
ASV000611,0,0,0,2,0,0
ASV000612,2,2,0,1,0,1
ASV000613,1,1,0,0,0,0
ASV000614,0,0,0,0,0,0
ASV000615,0,0,0,0,0,0
