Sample label,Latitude,Longitude,Sampling depth
TARA_093_DCM,-33.9116,-73.0537,35
TARA_093_SRF,-34.0614,-73.1066,5
TARA_094_SRF,-32.7971,-87.0693,5
TARA_096_SRF,-29.7238,-101.1604,5
TARA_098_DCM,-25.826,-111.7294,188
TARA_098_MES,-25.8076,-111.6906,488
TARA_098_SRF,-25.8051,-111.7202,5
TARA_099_SRF,-21.146,-104.787,5
TARA_100_DCM,-12.9723,-96.0122,50
TARA_100_MES,-12.9794,-96.0232,177
TARA_100_SRF,-13.0023,-95.9759,5
TARA_102_DCM,-5.2669,-85.2732,40
TARA_102_MES,-5.261,-85.1678,480
TARA_102_SRF,-5.2529,-85.1545,5
TARA_109_DCM,2.0299,-84.5546,30
TARA_109_DCM,2.0299,-84.5546,30
TARA_109_MES,2.0649,-84.5546,380
TARA_109_SRF,1.9928,-84.5766,5
TARA_109_SRF,1.9928,-84.5766,5
TARA_110_DCM,-1.9002,-84.6265,50
TARA_110_MES,-1.8902,-84.6141,380
TARA_110_SRF,-2.0133,-84.589,5
TARA_111_DCM,-16.9587,-100.6751,90
TARA_111_MES,-16.9486,-100.6715,350
TARA_111_SRF,-16.9601,-100.6335,5
TARA_112_DCM,-23.2189,-129.4997,155
TARA_112_MES,-23.2232,-129.5986,696
TARA_112_SRF,-23.2811,-129.3947,5
TARA_122_DCM,-9.0063,-139.1394,115
TARA_122_DCM,-9.0063,-139.1394,115
TARA_122_DCM,-9.0063,-139.1394,115
TARA_122_DCM,-9.0063,-139.1394,115
TARA_122_MES,-8.9729,-139.2393,600
TARA_122_MES,-8.9729,-139.2393,600
TARA_122_MES,-8.9729,-139.2393,600
TARA_122_MES,-8.9729,-139.2393,600
TARA_122_SRF,-8.9971,-139.1963,5
TARA_122_SRF,-8.9971,-139.1963,5
TARA_122_SRF,-8.9971,-139.1963,5
TARA_122_SRF,-8.9971,-139.1963,5
TARA_123_MIX,-8.9109,-140.2845,150
TARA_123_MIX,-8.9109,-140.2845,150
TARA_123_MIX,-8.9109,-140.2845,150
TARA_123_MIX,-8.9109,-140.2845,150
TARA_123_SRF,-8.9068,-140.283,5
TARA_123_SRF,-8.9068,-140.283,5
TARA_123_SRF,-8.9068,-140.283,5
TARA_124_MIX,-9.0714,-140.5973,120
TARA_124_MIX,-9.0714,-140.5973,120
TARA_124_MIX,-9.0714,-140.5973,120
TARA_124_MIX,-9.0714,-140.5973,120
TARA_124_SRF,-9.1504,-140.5216,5
TARA_124_SRF,-9.1504,-140.5216,5
TARA_124_SRF,-9.1504,-140.5216,5
TARA_124_SRF,-9.1504,-140.5216,5
TARA_125_MIX,-8.8999,-142.5461,140
TARA_125_MIX,-8.8999,-142.5461,140
TARA_125_MIX,-8.8999,-142.5461,140
TARA_125_MIX,-8.8999,-142.5461,140
TARA_125_SRF,-8.9111,-142.5571,5
TARA_125_SRF,-8.9111,-142.5571,5
TARA_125_SRF,-8.9111,-142.5571,5
TARA_125_SRF,-8.9111,-142.5571,5
TARA_128_DCM,0.0222,-153.6858,40
TARA_128_SRF,0.0003,-153.6759,5
TARA_132_DCM,31.5168,-159.046,115
TARA_132_MES,31.528000000000002,-159.0224,550
TARA_132_SRF,31.5213,-158.9958,5
TARA_133_DCM,35.4002,-127.7499,45
TARA_133_MES,35.2698,-127.7268,650
TARA_133_SRF,35.3671,-127.7422,5
TARA_137_DCM,14.2075,-116.6468,40
TARA_137_MES,14.2025,-116.6433,375
TARA_137_SRF,14.2035,-116.6261,5
TARA_138_DCM,6.3378,-102.9538,60
TARA_138_MES,6.3559,-103.0598,450
TARA_138_SRF,6.3332,-102.9432,5
TARA_140_SRF,7.4122,-79.3017,5
TARA_141_SRF,9.8481,-80.0454,5
TARA_142_DCM,25.6168,-88.4532,125
TARA_142_MES,25.6236,-88.45,640
TARA_142_SRF,25.5264,-88.39399999999999,5
TARA_145_MES,39.2392,-70.0343,590
TARA_145_SRF,39.2305,-70.0377,5
TARA_146_MES,34.6663,-71.2907,640
TARA_146_SRF,34.6712,-71.3093,5
TARA_148_SRF,31.6948,-64.2489,5
TARA_148b_MES,34.1504,-56.9684,250
TARA_149_MES,34.0771,-49.8233,740
TARA_149_SRF,34.1132,-49.9181,5
TARA_150_DCM,35.8427,-37.1526,40
TARA_150_SRF,35.9346,-37.3032,5
TARA_151_DCM,36.1811,-28.9373,80
TARA_151_SRF,36.1715,-29.023000000000003,5
TARA_152_MES,43.7182,-16.8714,800
TARA_152_MIX,43.7056,-16.8794,25
TARA_152_SRF,43.6792,-16.8344,5
