Sample label,Latitude,Longitude,Sampling depth
TARA_064_MES_0.22-3,-29.5046,37.9599,1000
TARA_064_SRF_0.22-3,-29.5019,37.9889,5
TARA_064_SRF_<-0.22,-29.5019,37.9889,5
TARA_065_DCM_0.1-0.22,-35.2421,26.3048,30
TARA_065_DCM_0.22-3,-35.2421,26.3048,30
TARA_065_DCM_<-0.22,-35.2421,26.3048,30
TARA_065_MES_0.22-3,-35.1889,26.2905,850
TARA_065_SRF_0.1-0.22,-35.1728,26.2868,5
TARA_065_SRF_0.22-3,-35.1728,26.2868,5
TARA_065_SRF_<-0.22,-35.1728,26.2868,5
TARA_066_DCM_0.22-3,-34.8901,18.0459,30
TARA_066_DCM_<-0.22,-34.8901,18.0459,30
TARA_066_SRF_0.22-3,-34.9449,17.9189,5
TARA_066_SRF_<-0.22,-34.9449,17.9189,5
TARA_067_SRF_0.22-3,-32.2401,17.7103,5
TARA_067_SRF_0.22-0.45,-32.2401,17.7103,5
TARA_067_SRF_0.45-0.8,-32.2401,17.7103,5
TARA_067_SRF_<-0.22,-32.2401,17.7103,5
TARA_068_DCM_0.22-3,-31.027,4.6802,50
TARA_068_DCM_0.22-0.45,-31.027,4.6802,50
TARA_068_DCM_0.45-0.8,-31.027,4.6802,50
TARA_068_DCM_<-0.22,-31.027,4.6802,50
TARA_068_MES_0.22-3,-31.0198,4.6685,700
TARA_068_MES_0.45-0.8,-31.0198,4.6685,700
TARA_068_SRF_0.22-3,-31.0266,4.665,5
TARA_068_SRF_0.22-0.45,-31.0266,4.665,5
TARA_068_SRF_0.45-0.8,-31.0266,4.665,5
TARA_068_SRF_<-0.22,-31.0266,4.665,5
TARA_070_MES_0.22-3,-20.4075,-3.1641,800
TARA_070_MES_0.22-0.45,-20.4075,-3.1641,800
TARA_070_MES_0.45-0.8,-20.4075,-3.1641,800
TARA_070_MES_<-0.22,-20.4075,-3.1641,800
TARA_070_SRF_0.22-3,-20.4091,-3.1759,5
TARA_070_SRF_0.22-0.45,-20.4091,-3.1759,5
TARA_070_SRF_0.45-0.8,-20.4091,-3.1759,5
TARA_070_SRF_<-0.22,-20.4091,-3.1759,5
TARA_072_DCM_0.22-3,-8.7296,-17.9604,100
TARA_072_DCM_<-0.22,-8.7296,-17.9604,100
TARA_072_MES_0.22-3,-8.7986,-17.9034,800
TARA_072_MES_<-0.22,-8.7986,-17.9034,800
TARA_072_SRF_0.22-3,-8.7789,-17.9099,5
TARA_072_SRF_<-0.22,-8.7789,-17.9099,5
TARA_076_DCM_0.22-3,-21.0292,-35.3498,150
TARA_076_DCM_0.22-0.45,-21.0292,-35.3498,150
TARA_076_DCM_0.45-0.8,-21.0292,-35.3498,150
TARA_076_DCM_<-0.22,-21.0292,-35.3498,150
TARA_076_MES_0.22-3,-20.9315,-35.1794,800
TARA_076_MES_0.45-0.8,-20.9315,-35.1794,800
TARA_076_SRF_0.22-3,-20.9354,-35.1803,5
TARA_076_SRF_0.22-0.45,-20.9354,-35.1803,5
TARA_076_SRF_0.45-0.8,-20.9354,-35.1803,5
TARA_076_SRF_<-0.22,-20.9354,-35.1803,5
TARA_078_DCM_0.22-3,-30.1484,-43.2705,120
TARA_078_DCM_0.22-0.45,-30.1484,-43.2705,120
TARA_078_DCM_0.45-0.8,-30.1484,-43.2705,120
TARA_078_MES_0.22-3,-30.1471,-43.2915,800
TARA_078_MES_0.45-0.8,-30.1471,-43.2915,800
TARA_078_SRF_0.22-3,-30.1367,-43.2899,5
TARA_078_SRF_0.22-0.45,-30.1367,-43.2899,5
TARA_078_SRF_0.45-0.8,-30.1367,-43.2899,5
TARA_078_SRF_<-0.22,-30.1367,-43.2899,5
TARA_082_DCM_0.22-3,-47.2007,-57.9446,40
TARA_082_DCM_<-0.22,-47.2007,-57.9446,40
TARA_082_SRF_0.22-3,-47.1863,-58.2902,5
TARA_084_SRF_0.22-3,-60.2287,-60.6476,5
TARA_085_DCM_0.22-3,-62.2231,-49.2139,90
TARA_085_DCM_<-0.22,-62.2231,-49.2139,90
TARA_085_MES_0.22-3,-61.9689,-49.5017,790
TARA_085_SRF_0.22-3,-62.0385,-49.529,5
TARA_093_DCM_0.22-3,-33.9116,-73.0537,35
TARA_093_SRF_0.22-3,-34.0614,-73.1066,5
TARA_094_SRF_0.22-3,-32.7971,-87.0693,5
TARA_096_SRF_0.22-3,-29.7238,-101.1604,5
TARA_098_DCM_0.22-3,-25.826,-111.7294,188
TARA_098_MES_0.22-3,-25.8076,-111.6906,488
TARA_098_SRF_0.22-3,-25.8051,-111.7202,5
TARA_099_SRF_0.22-3,-21.146,-104.787,5
TARA_100_DCM_0.22-3,-12.9723,-96.0122,50
TARA_100_MES_0.22-3,-12.9794,-96.0232,177
TARA_100_SRF_0.22-3,-13.0023,-95.9759,5
TARA_102_DCM_0.22-3,-5.2669,-85.2732,40
TARA_102_MES_0.22-3,-5.261,-85.1678,480
TARA_102_SRF_0.22-3,-5.2529,-85.1545,5
TARA_109_DCM_0.22-3,2.0299,-84.5546,30
TARA_109_DCM_<-0.22,2.0299,-84.5546,30
TARA_109_MES_0.22-3,2.0649,-84.5546,380
TARA_109_SRF_0.22-3,1.9928,-84.5766,5
TARA_109_SRF_<-0.22,1.9928,-84.5766,5
TARA_110_DCM_0.22-3,-1.9002,-84.6265,50
TARA_110_MES_0.22-3,-1.8902,-84.6141,380
TARA_110_SRF_0.22-3,-2.0133,-84.589,5
TARA_111_DCM_0.22-3,-16.9587,-100.6751,90
TARA_111_MES_0.22-3,-16.9486,-100.6715,350
TARA_111_SRF_0.22-3,-16.9601,-100.6335,5
TARA_112_DCM_0.22-3,-23.2189,-129.4997,155
TARA_112_MES_0.22-3,-23.2232,-129.5986,696
TARA_112_SRF_0.22-3,-23.2811,-129.3947,5
TARA_122_DCM_0.1-0.22,-9.0063,-139.1394,115
TARA_122_DCM_0.22-3,-9.0063,-139.1394,115
TARA_122_DCM_0.22-0.45,-9.0063,-139.1394,115
TARA_122_DCM_0.45-0.8,-9.0063,-139.1394,115
TARA_122_MES_0.1-0.22,-8.9729,-139.2393,600
TARA_122_MES_0.22-3,-8.9729,-139.2393,600
TARA_122_MES_0.22-0.45,-8.9729,-139.2393,600
TARA_122_MES_0.45-0.8,-8.9729,-139.2393,600
TARA_122_SRF_0.1-0.22,-8.9971,-139.1963,5
TARA_122_SRF_0.22-3,-8.9971,-139.1963,5
TARA_122_SRF_0.22-0.45,-8.9971,-139.1963,5
TARA_122_SRF_0.45-0.8,-8.9971,-139.1963,5
TARA_123_MIX_0.1-0.22,-8.9109,-140.2845,150
TARA_123_MIX_0.22-3,-8.9109,-140.2845,150
TARA_123_MIX_0.22-0.45,-8.9109,-140.2845,150
TARA_123_MIX_0.45-0.8,-8.9109,-140.2845,150
TARA_123_SRF_0.22-3,-8.9068,-140.283,5
TARA_123_SRF_0.22-0.45,-8.9068,-140.283,5
TARA_123_SRF_0.45-0.8,-8.9068,-140.283,5
TARA_124_MIX_0.1-0.22,-9.0714,-140.5973,120
TARA_124_MIX_0.22-3,-9.0714,-140.5973,120
TARA_124_MIX_0.22-0.45,-9.0714,-140.5973,120
TARA_124_MIX_0.45-0.8,-9.0714,-140.5973,120
TARA_124_SRF_0.1-0.22,-9.1504,-140.5216,5
TARA_124_SRF_0.22-3,-9.1504,-140.5216,5
TARA_124_SRF_0.22-0.45,-9.1504,-140.5216,5
TARA_124_SRF_0.45-0.8,-9.1504,-140.5216,5
TARA_125_MIX_0.1-0.22,-8.8999,-142.5461,140
TARA_125_MIX_0.22-3,-8.8999,-142.5461,140
TARA_125_MIX_0.22-0.45,-8.8999,-142.5461,140
TARA_125_MIX_0.45-0.8,-8.8999,-142.5461,140
TARA_125_SRF_0.1-0.22,-8.9111,-142.5571,5
TARA_125_SRF_0.22-3,-8.9111,-142.5571,5
TARA_125_SRF_0.22-0.45,-8.9111,-142.5571,5
TARA_125_SRF_0.45-0.8,-8.9111,-142.5571,5
TARA_128_DCM_0.22-3,0.0222,-153.6858,40
TARA_128_SRF_0.22-3,0.0003,-153.6759,5
TARA_132_DCM_0.22-3,31.5168,-159.046,115
TARA_132_MES_0.22-3,31.528,-159.0224,550
TARA_132_SRF_0.22-3,31.5213,-158.9958,5
TARA_133_DCM_0.22-3,35.4002,-127.7499,45
TARA_133_MES_0.22-3,35.2698,-127.7268,650
TARA_133_SRF_0.22-3,35.3671,-127.7422,5
TARA_137_DCM_0.22-3,14.2075,-116.6468,40
TARA_137_MES_0.22-3,14.2025,-116.6433,375
TARA_137_SRF_0.22-3,14.2035,-116.6261,5
TARA_138_DCM_0.22-3,6.3378,-102.9538,60
TARA_138_MES_0.22-3,6.3559,-103.0598,450
TARA_138_SRF_0.22-3,6.3332,-102.9432,5
TARA_140_SRF_0.22-3,7.4122,-79.3017,5
TARA_141_SRF_0.22-3,9.8481,-80.0454,5
TARA_142_DCM_0.22-3,25.6168,-88.4532,125
TARA_142_MES_0.22-3,25.6236,-88.45,640
TARA_142_SRF_0.22-3,25.5264,-88.394,5
TARA_145_MES_0.22-3,39.2392,-70.0343,590
TARA_145_SRF_0.22-3,39.2305,-70.0377,5
TARA_146_MES_0.22-3,34.6663,-71.2907,640
TARA_146_SRF_0.22-3,34.6712,-71.3093,5
TARA_148_SRF_0.22-3,31.6948,-64.2489,5
TARA_148b_MES_0.22-3,34.1504,-56.9684,250
TARA_149_MES_0.22-3,34.0771,-49.8233,740
TARA_149_SRF_0.22-3,34.1132,-49.9181,5
TARA_150_DCM_0.22-3,35.8427,-37.1526,40
TARA_150_SRF_0.22-3,35.9346,-37.3032,5
TARA_151_DCM_0.22-3,36.1811,-28.9373,80
TARA_151_SRF_0.22-3,36.1715,-29.023,5
TARA_152_MES_0.22-3,43.7182,-16.8714,800
TARA_152_MIX_0.22-3,43.7056,-16.8794,25
TARA_152_SRF_0.22-3,43.6792,-16.8344,5
