ASV1.Vibrio,ASV2.Alteromonas
ASV59.Piscinibacter,ASV60.Nevskia
1.92E+00,1.69E+00
ASV61.Ferruginibacter,ASV62.Halomonas
1.96E+00,9.22E-01
ASV63.Vibrionaceae,ASV64.Parvibaculum
2.17E-01,1.39E+00
ASV65.Catenococcus,ASV66.Bryobacter
-2.19E-01,1.92E+00
ASV67.Bradyrhizobium,ASV68.Turneriella
1.89E+00,2.02E+00
ASV69.Alphaproteobacteria,ASV70.Catenococcus
3.00E-01,-1.12E+00
ASV71.Hyphomonas,ASV72.Marinobacter
1.87E-01,5.59E-02
ASV73.Catenococcus,ASV74.Micropepsaceae
-5.06E-02,2.03E+00
ASV75.Vibrionaceae,ASV76.Aestuariibacter.aggregatus
1.84E-01,1.38E+00
ASV77.Vibrio.pacinii,ASV78.Catenococcus
-3.00E-02,-9.86E-01
ASV79.Sediminibacterium,ASV80.Labrenzia.aggregata
1.54E+00,1.24E+00
ASV81.Alteromonas,ASV82.Pelomonas
1.22E+00,1.99E+00
ASV83.Methylobacterium,ASV84.Catenococcus
1.98E+00,9.90E-02
ASV85.Hyphobacterium,ASV86.Vibrionaceae
1.29E+00,-1.87E-01
ASV87.Stappia,ASV88.Vibrio
6.94E-01,-4.83E-01
ASV89.Vibrio,ASV90.Xanthobacteraceae
1.92E-01,1.96E+00
ASV91.Gemmatimonadaceae,ASV92.Marinobacter
2.01E+00,-4.30E-01
ASV93.Burkholderiaceae,ASV94.Alteromonas
2.16E+00,1.64E+00
ASV95.Rhizobiaceae,ASV96.Bacillaceae
9.86E-02,4.16E-02
ASV97.Catenococcus,ASV98.Gammaproteobacteria
-7.54E-01,-5.15E-01
ASV99.Pseudoalteromonas,ASV100.Vibrio
1.35E+00,-3.85E-01
ASV101.Fimbriimonadaceae,ASV102.Vibrio
1.78E+00,-4.10E-01
ASV103.Maritimibacter,ASV104.Acidibacter
1.89E-01,2.01E+00
ASV105.Marinobacter,ASV106.Pseudooceanicola
1.81E-01,2.84E-01
ASV107.Sulfuritalea,ASV108.Acinetobacter
1.95E+00,1.91E+00
ASV109.Bacillaceae,ASV110.Catenococcus
-4.32E-01,1.39E-01
ASV111.Catenococcus,ASV112.Vibrio
1.51E-01,-5.40E-01
ASV113.Catenococcus,ASV114.Vibrio
2.66E-01,1.41E-01
ASV115.Gemmata,ASV116.Vibrio
1.93E+00,2.95E-01
ASV117.Nitratireductor,ASV118.Shewanella
3.15E-01,1.28E+00
ASV119.Subgroup_2,ASV120.Catenococcus
1.70E+00,-1.21E+00
ASV121.Novosphingobium,ASV122.Halomonas
1.73E+00,3.73E-01
ASV123.Thalassospira,ASV124.Stakelama
-1.06E+00,2.11E+00
ASV125.Pelagibacterium.halotolerans,ASV126.Azomonas
3.15E-01,-5.72E-01
ASV127.Bryobacter,ASV128.Catenococcus
1.76E+00,-1.28E-01
ASV129.Isosphaeraceae,ASV130.Thalassospira
1.83E+00,-6.65E-01
ASV131.Obscuribacterales,ASV132.Catenococcus
1.78E+00,5.86E-01
ASV133.Reyranella,ASV134.Hyphobacterium
1.43E+00,9.12E-01
ASV135.Escherichia.Shigella,ASV136.Hyphomonas
5.40E-01,-3.07E-02
ASV137.Polymorphum,ASV138.Vibrionaceae
8.93E-01,6.57E-01
ASV139.Catenococcus,ASV140.Methyloligella
-1.05E+00,9.58E-01
ASV141.Sunxiuqinia,ASV142.Alteromonas
3.56E-01,1.06E+00
ASV143.Bryobacter,ASV144.Solibacteraceae_.Subgroup_3.
1.65E+00,1.86E+00
ASV145.Tenacibaculum.litoreum,ASV146.Vibrio
1.96E-01,-5.44E-01
ASV147.Halomonadaceae,ASV148.Parvibaculum
-1.13E-01,9.94E-01
ASV149.Galbitalea,ASV150.Rhodobacteraceae
2.24E+00,-1.09E+00
ASV151.Ochrobactrum,ASV152.Catenococcus
1.28E+00,1.01E+00
ASV153.Mesoflavibacter.zeaxanthinifaciens,ASV154.Rheinheimera.aquimaris
9.48E-01,6.33E-01
ASV155.Cutibacterium,ASV156.Catenococcus
1.72E+00,7.56E-01
ASV157.Acidobacteriales,ASV158.Pajaroellobacter
1.71E+00,1.69E+00
ASV159.Catenococcus,ASV160.Stappia
-3.81E-01,3.38E-01
ASV161.Oricola,ASV162.Shewanella
-9.90E-01,4.36E-01
ASV163.Catenococcus,ASV164.Catenococcus
-3.61E-01,8.97E-01
ASV165.Rhodobacteraceae,ASV166.Oricola
9.92E-02,9.47E-02
ASV167.Catenococcus,ASV168.Nitratireductor
6.03E-01,1.13E+00
ASV170.Bradyrhizobium,ASV171.Magnetospira
1.21E+00,1.35E+00
ASV172.Thalassospira,ASV173.Catenococcus
1.02E+00,-4.05E-01
ASV174.Marinomonas,ASV175.Hyphomonas
-5.01E-01,1.33E-02
ASV176.Catenococcus,ASV177.Pelagibacterium
-4.58E-01,-4.69E-01
ASV178.Catenococcus,ASV179.Catenococcus
2.78E-01,-7.12E-01
ASV180.Chitinophagaceae,ASV181.Gammaproteobacteria
1.09E+00,1.07E-01
ASV182.Marinobacter,ASV183.Marinomonas
7.83E-01,-3.20E-01
ASV184.Enhydrobacter.aerosaccus,ASV185.Catenococcus
3.78E-01,1.84E+00
ASV186.Pseudonocardia.endophytica,ASV187.Alcanivorax
1.03E+00,-1.11E+00
ASV188.Mycobacterium,ASV189.Acidobacteriales
7.89E-01,1.67E+00
ASV190.Pseudomonas,ASV191.Desulfobulbaceae
1.23E+00,-8.04E-02
ASV192.Mycobacterium,ASV193.Halomonas
1.33E+00,-9.75E-02
ASV194.Rhizobiaceae,ASV196.Catenococcus
-1.72E-01,-1.23E-01
ASV197.Vibrio,ASV198.Pseudoalteromonas
1.14E+00,5.74E-01
ASV199.Halodesulfovibrio.oceani,ASV200.Staphylococcus
5.57E-01,1.16E+00
ASV201.Catenococcus,ASV202.Oricola
-1.16E+00,-1.05E+00
ASV203.Tenacibaculum,ASV204.Sunxiuqinia
8.27E-03,-5.76E-01
ASV205.Vibrio,ASV206.Alcanivorax
2.46E-01,3.11E-02
ASV207.Bacillaceae,ASV208.Delftia
7.17E-01,7.96E-01
ASV209.Rhodocista,ASV210.Thioclava
7.12E-01,3.54E-01
ASV211.Aestuariibacter,ASV212.Catenococcus
7.73E-01,-3.92E-01
ASV213.Methyloceanibacter,ASV214.Catenococcus
9.48E-01,1.14E+00
ASV215.Neptunomonas.phycophila,ASV216.Cucumibacter.marinus
-1.88E-01,1.03E+00
ASV217.Aestuariibacter,ASV218.Rhodobacteraceae
9.38E-01,-2.46E-01
ASV219.Bacillus,ASV220.Vibrionaceae
2.07E-01,9.37E-01
ASV222.Psychrobacter,ASV223.Reyranella
-2.31E-01,1.03E+00
ASV224.Catenococcus,ASV225.Vibrio
-1.09E+00,-3.53E-01
ASV226.Rhodobacteraceae,ASV228.Desulfotalea
-5.21E-01,-8.61E-01
ASV229.Halomonadaceae,ASV230.Oricola
-2.57E-01,-6.29E-01
ASV231.Thalassobaculum,ASV232.Stenotrophomonas.maltophilia
9.54E-01,7.57E-01
ASV233.Marinobacterium.georgiense,ASV234.Caenimonas
4.81E-02,8.21E-01
ASV235.Thioclava.indica,ASV236.Desulfofrigus
-2.38E-01,-2.89E-02
ASV237.Catenococcus,ASV238.Catenococcus
-3.89E-01,3.06E-02
ASV239.Woeseia,ASV243.Aurantivirga
1.03E+00,-1.78E-01
ASV244.Shewanella,ASV245.Catenococcus
1.07E+00,-3.76E-01
ASV246.Rheinheimera,ASV247.Hyphobacterium.vulgare
-2.44E-01,1.10E+00
ASV248.Alteromonas,ASV250.EF100.94H03
1.11E+00,9.67E-01
ASV251.Marinifilaceae,ASV252.Nitrospira
2.61E-01,1.54E+00
ASV253.Truepera,ASV254.Thalassospira
2.07E-01,2.95E-01
ASV255.Vibrionaceae,ASV256.Amorphus.coralli
-5.81E-01,1.50E+00
ASV257.Bacillaceae,ASV258.Bacteroidales
3.55E-01,-3.95E-01
ASV259.Pseudahrensia,ASV260.Desulfopila
1.25E+00,2.48E-01
ASV261.Constrictibacter,ASV263.Catenococcus
5.20E-01,-8.01E-01
ASV264.DSSD61,ASV265.Catenococcus
1.51E+00,2.96E-01
ASV266.Catenococcus,ASV267.Halomonas
-9.12E-01,4.72E-01
ASV269.Catenococcus,ASV270.Fusibacter
1.21E+00,-3.28E-01
ASV271.Catenococcus,ASV272.Pseudomonas
-7.06E-01,-8.11E-02
ASV273.MSBL8,ASV274.Catenococcus
-2.67E-01,-8.29E-01
ASV275.Catenococcus,ASV276.Lysinibacillus
-3.40E-01,5.14E-01
ASV277.Alteromonadaceae,ASV278.Catenococcus
-1.30E-01,1.73E+00
ASV279.Alcanivorax.venustensis,ASV280.Nitratireductor
7.10E-01,8.53E-01
ASV281.Sediminibacterium,ASV282.Fimbriiglobus
1.75E+00,1.64E+00
ASV284.Marinobacter,ASV285.Thalassobaculum
3.62E-01,7.83E-01
ASV286.Catenococcus,ASV287.Rhizobiales
-2.99E-03,1.74E+00
ASV288.Alteromonas,ASV289.Neptunomonas
9.58E-01,-1.06E+00
ASV290.Agaribacter,ASV291.Desulfovibrio
-1.05E-01,-9.92E-02
ASV292.Rhizobiales,ASV293.Bacteria
1.54E+00,-1.13E-01
ASV294.Desulfopila,ASV295.Oricola
-8.46E-02,-9.38E-01
ASV296.Fusibacter,ASV297.Halodesulfovibrio
2.60E-01,-4.21E-01
ASV299.Bacillaceae,ASV300.Marinifilaceae
5.50E-01,-1.51E-01
ASV301.Lutibacter,ASV302.Proteobacteria
-4.52E-01,-6.64E-01
ASV304.OPB56,ASV305.Amorphus.suaedae
-6.90E-01,6.61E-01
ASV306.Catenococcus,ASV307.XY.R5
1.86E-01,7.01E-01
ASV308.Haliangium,ASV310.Rhodobacteraceae
7.64E-01,-1.10E-01
ASV311.Olleya.marilimosa,ASV312.Planctomicrobium
-3.44E-03,-2.46E-01
ASV313.Vibrionaceae,ASV314.Reyranella
-1.73E-02,1.68E+00
ASV315.Fusibacter,ASV316.Gammaproteobacteria
-6.03E-03,-2.30E-01
ASV317.Subgroup_2,ASV319.Pseudomonas
1.15E+00,7.65E-01
ASV320.Gelidibacter.sediminis,ASV321.Rhodobacteraceae
7.47E-01,-5.57E-01
ASV322.Bacillaceae,ASV323.Catenococcus
1.51E-01,-7.18E-01
ASV325.Gemmataceae,ASV326.Kinneretia
9.87E-01,1.80E+00
ASV327.Desulfopila,ASV328.Desulfopila
1.27E-01,-8.63E-01
ASV329.Carboxylicivirga,ASV330.Catenococcus
1.78E-01,5.88E-01
ASV331.Vibrionaceae,ASV334.Fibrella
-4.96E-01,1.10E-01
ASV335.Catenococcus,ASV336.Gammaproteobacteria
-1.06E+00,1.36E+00
ASV337.Bacillaceae,ASV338.Draconibacterium
7.72E-01,3.42E-01
ASV339.Tistlia,ASV340.Roseicitreum
2.20E-01,-1.47E-01
ASV341.Catenococcus,ASV342.Thalassobaculum
-5.75E-02,3.68E-01
ASV343.Rhodobacteraceae,ASV344.Stakelama
-4.31E-01,1.72E+00
ASV345.Alteromonas,ASV346.Acinetobacter
-9.17E-02,1.22E+00
ASV347.Catenococcus,ASV348.Psychrobacter
4.87E-01,-7.83E-01
ASV349.Catenococcus,ASV350.Marinobacterium
-2.70E-01,-9.93E-01
ASV351.Rhodobacteraceae,ASV353.Shewanella
8.23E-01,8.53E-01
ASV354.Catenococcus,ASV355.Desulfobacteraceae
-2.14E-02,-7.92E-01
ASV357.Filomicrobium,ASV358.Catenococcus
5.27E-01,-9.12E-01
ASV359.Hyphobacterium,ASV361.Rhizobiales
8.43E-01,1.60E+00
ASV362.Catenococcus,ASV363.DSSD61
1.63E-01,1.72E+00
ASV364.Catenococcus,ASV366.Desulfobulbus
-6.88E-01,-1.51E-01
ASV367.Thalassospira,ASV368.Kinneretia
4.03E-01,1.60E+00
ASV369.Hyphobacterium,ASV370.Catenococcus
8.55E-01,-7.75E-01
ASV371.Flavobacteriaceae,ASV372.Catenococcus
-5.32E-02,1.72E+00
ASV373.Marinobacterium.stanieri,ASV377.Vibrio
7.32E-02,-3.83E-01
ASV378.Catenococcus,ASV379.Catenococcus
-3.83E-01,-8.87E-01
ASV381.Tenacibaculum.mesophilum,ASV382.Aquamicrobium
-1.73E-01,-6.05E-01
ASV383.Bacillaceae,ASV384.Catenococcus
1.70E+00,9.96E-02
ASV385.Clostridiales,ASV386.MBAE14
-8.75E-01,4.71E-02
ASV387.Oricola,ASV388.Catenococcus
-9.18E-01,-3.95E-01
ASV389.Catenococcus,ASV390.Catenococcus
4.03E-01,1.67E+00
ASV391.Catenococcus,ASV392.Aeribacillus.pallidus
-4.32E-01,4.80E-01
ASV393.Fusibacter,ASV394.Woeseia
-2.08E-01,9.12E-01
ASV396.Catenococcus,ASV397.Catenococcus
-4.30E-01,-8.88E-01
ASV399.Bacteria,ASV400.Desulfobulbaceae
-5.58E-01,-6.35E-01
ASV401.Desulfofrigus,ASV404.Marinifilum
-2.02E-01,-8.04E-02
ASV406.Nitratireductor,ASV407.Chroococcidiopsaceae
9.49E-01,1.70E-01
ASV410.Thalassospira,ASV411.Vibrio
-8.17E-01,6.13E-01
ASV412.Fusibacter,ASV414.Cohaesibacter
2.85E-02,3.11E-01
ASV416.Terasakiella.pusilla,ASV417.Bacillus
1.00E+00,3.65E-01
ASV418.Thalassobaculum,ASV419.OPB56
1.49E-02,-1.07E-01
ASV420.Marinifilum,ASV421.Bacillaceae
-3.47E-01,-1.73E-01
ASV422.Marivirga,ASV423.Alteromonas
7.78E-02,1.30E+00
ASV425.Roseovarius,ASV426.Methyloligella
-2.41E-01,5.34E-01
ASV427.Alphaproteobacteria,ASV428.Marinobacterium
1.40E-02,-1.38E-01
ASV430.Burkholderiaceae,ASV431.Alteromonas
1.65E+00,-9.36E-02
ASV432.Rhodobacteraceae,ASV433.Oricola
1.10E-01,-7.82E-01
ASV434.Brevibacterium,ASV435.Magnetospira
-1.09E-01,8.34E-01
ASV436.Alphaproteobacteria,ASV437.Mesoflavibacter
2.18E-01,-9.73E-02
ASV439.Xanthobacteraceae,ASV440.Vibrionaceae
1.64E+00,-5.82E-01
ASV441.Clostridiales,ASV442.Catenococcus
-6.21E-01,-6.01E-01
ASV443.Sunxiuqinia,ASV444.Catenococcus
-8.56E-01,1.59E+00
ASV445.Alteromonas,ASV447.Marinomonas
2.82E-01,-4.32E-01
ASV448.Catenococcus,ASV449.Thiobacimonas
1.82E-01,1.07E+00
ASV450.Vibrio,ASV451.Sunxiuqinia
-8.22E-01,-7.08E-01
ASV452.Catenococcus,ASV453.Spirochaeta_2
1.42E+00,-8.58E-02
ASV455.Pajaroellobacter,ASV456.Lutibaculum
9.93E-01,1.01E+00
ASV457.Vibrio,ASV458.Fusibacter
-9.51E-03,-5.11E-01
ASV459.Pseudoalteromonadaceae,ASV460.Catenococcus
1.62E+00,1.52E+00
ASV461.Hyphomicrobiaceae,ASV462.Brevibacterium
1.59E+00,-2.50E-01
ASV463.Vibrionaceae,ASV464.Brevundimonas
-1.04E+00,1.09E+00
ASV465.Pseudoalteromonadaceae,ASV467.Hoeflea
9.47E-02,1.33E+00
ASV470.Catenococcus,ASV471.Catenococcus
-6.02E-01,-6.72E-01
ASV472.Clostridiales,ASV475.Vibrio
-6.61E-01,-2.87E-01
ASV477.Antarctobacter.heliothermus,ASV478.Fusibacter
1.47E-01,6.11E-02
ASV479.Desulfovibrio,ASV480.Oligotropha
-3.23E-01,1.86E+00
ASV481.Catenococcus,ASV483.Gammaproteobacteria
-8.55E-01,2.92E-01
ASV485.Filomicrobium,ASV488.Crocinitomicaceae
8.55E-01,3.99E-02
ASV490.Microbacteriaceae,ASV492.Solibacteraceae_.Subgroup_3.
1.45E+00,1.31E+00
ASV494.Alteromonadaceae,ASV497.Catenococcus
2.70E-01,2.81E-01
ASV498.Thermopetrobacter,ASV499.Catenococcus
5.53E-01,3.83E-01
ASV501.Thalassospira,ASV503.Gammaproteobacteria
-9.04E-01,-9.00E-01
ASV504.Vibrionaceae,ASV505.Aquabacterium
7.72E-01,1.66E+00
ASV506.Bacillaceae,ASV507.Burkholderiaceae
-1.29E-01,1.57E+00
ASV508.Desulfopila,ASV509.Thalassospira
-2.85E-01,3.29E-01
ASV510.Rheinheimera,ASV511.Fusibacter
2.07E-02,7.16E-03
ASV514.Alteromonadaceae,ASV515.Thioclava.dalianensis
-9.86E-02,7.33E-01
ASV516.Alteromonadales,ASV517.Vibrio
-7.39E-01,-3.53E-01
ASV518.Bacillaceae,ASV519.Acidibacter
4.04E-01,4.96E-01
ASV521.Bacteroidales,ASV522.Bacteriovoracaceae
-7.75E-01,1.91E-01
ASV523.Vibrio,ASV527.Catenococcus
-3.52E-01,2.25E-01
ASV528.Martelella,ASV529.Catenococcus
6.62E-01,-1.98E-01
ASV531.Ferrimonas.sediminum,ASV535.Celeribacter
8.87E-01,5.86E-01
ASV538.Vibrio,ASV539.Marinobacterium
-2.21E-02,-3.42E-01
ASV543.Sedimentitalea,ASV545.Thalassospira
-2.12E-02,-5.38E-01
ASV547.Alteromonadaceae,ASV551.Fodinicurvataceae
-1.38E-02,1.05E-01
ASV552.Maritalea,ASV553.DSSD61
1.10E+00,1.36E+00
ASV558.Catenococcus,ASV559.Rhizobiales
1.55E+00,1.41E+00
ASV564.Pelagibacterium,ASV565.Alteromonas
-3.77E-01,6.68E-01
ASV566.Enterovibrio,ASV569.Acidiphilium
1.30E-01,1.91E-01
ASV571.Muricauda,ASV572.Halomonadaceae
-2.28E-01,-8.97E-02
ASV573.Catenococcus,ASV575.Roseicitreum
-6.25E-02,-4.59E-01
ASV578.Halomonadaceae,ASV584.Catenococcus
-5.33E-01,1.30E+00
ASV585.DSSD61,ASV588.XY.R5
1.30E+00,7.16E-01
ASV591.Kordiimonas,ASV594.Gammaproteobacteria
7.95E-01,1.48E-01
ASV595.Catenococcus,ASV598.Methylophaga.nitratireducenticrescens
-6.37E-02,5.96E-01
ASV599.Thalassobaculum,ASV600.Corynebacterium_1.kroppenstedtii
7.05E-01,1.17E-01
ASV601.Neptunomonas,ASV604.Bacillaceae
-5.20E-01,6.61E-01
ASV611.Alcanivorax,ASV612.Pelagibacterium
-5.56E-01,-6.12E-01
ASV614.Bacillaceae,ASV615.Alteromonadaceae
8.91E-01,4.57E-01
ASV620.Neptunomonas.concharum,ASV621.Pseudomonadaceae
7.32E-01,-3.98E-01
ASV624.Halomonadaceae,ASV625.Gammaproteobacteria
-3.89E-01,-5.97E-01
ASV626.Streptococcus,ASV627.Alteromonadaceae
9.93E-02,6.22E-01
ASV629.Marinobacter,ASV633.Proteobacteria
-1.94E-01,1.04E-03
ASV634.Bacillaceae,ASV639.Corynebacterium_1
-4.85E-01,6.75E-01
ASV640.Catenococcus,ASV641.DSSD61
-1.43E-01,1.50E+00
ASV642.Agaribacter,ASV643.Halomonas
1.21E+00,-2.39E-01
ASV645.Alteromonadaceae,ASV646.Catenococcus
5.63E-01,-5.78E-01
ASV647.Cohaesibacter,ASV651.Chitinophagaceae
1.95E-01,1.27E+00
ASV653.Spongiispira,ASV661.Rhodobacteraceae
7.92E-02,6.10E-01
ASV662.Agaribacter,ASV664.Vibrio
6.80E-03,-1.87E-01
ASV667.Catenococcus,ASV668.Maribacter.forsetii
-4.36E-03,-2.70E-01
ASV669.Vibrio.tasmaniensis,ASV672.Aquabacterium
-2.56E-01,1.30E+00
ASV677.Rhizobiaceae,ASV681.Neptunomonas
-5.33E-01,-6.69E-01
ASV687.Corynebacteriales,ASV692.Catenococcus
8.11E-01,-3.62E-01
ASV693.Sunxiuqinia,ASV697.Alteromonas
-3.33E-01,-8.43E-02
ASV701.Kordiimonas,ASV702.Yangia.pacifica
8.65E-01,-1.80E-01
ASV713.Ralstonia,ASV714.Hyphobacterium
5.99E-01,3.34E-01
ASV716.Mesorhizobium,ASV717.Streptococcus
5.45E-01,5.39E-01
ASV719.Flavobacteriaceae,ASV724.Nautella.italica
-5.00E-02,-4.33E-02
ASV725.Sunxiuqinia,ASV726.Bacillaceae
-6.43E-01,1.21E+00
ASV730.Vibrio.bivalvicida,ASV731.Vibrio
-4.30E-01,-3.75E-01
ASV732.Pelagibacterium,ASV734.Truepera
-3.84E-01,-1.39E-01
ASV737.Catenococcus,ASV740.Tenacibaculum
9.43E-01,8.97E-16
ASV747.Alteromonadaceae,ASV748.Olleya.marilimosa
-6.40E-02,6.98E-02
ASV750.Thiobacimonas,ASV752.Burkholderiaceae
-2.45E-01,1.11E+00
ASV753.Oricola,ASV759.Tepidamorphus
-1.98E-01,6.24E-01
ASV760.Catenococcus,ASV766.Roseobacter
-4.30E-01,-3.03E-01
ASV770.Rhodobacteraceae,ASV773.Catenococcus
-1.48E-01,2.85E-02
ASV775.Catenococcus,ASV776.Marinobacterium
-4.54E-01,-8.66E-02
ASV779.Thiobacimonas,ASV783.Rhodobacteraceae
-3.33E-01,-1.55E-01
ASV789.Halomonas,ASV790.Catenococcus
-1.31E-02,-4.25E-01
ASV791.Rhizobiaceae,ASV795.Alcanivorax
-7.34E-01,-3.53E-01
ASV796.Aliisedimentitalea,ASV800.Acinetobacter
-2.03E-01,8.45E-01
ASV802.Catenococcus,ASV804.Rheinheimera
-1.95E-01,-4.15E-01
ASV818.Hyphomonas,ASV819.Thalassospira
-3.23E-02,-5.50E-01
ASV822.Pelagibacterium,ASV827.Alcanivorax
-6.34E-01,-5.82E-02
ASV831.Alteromonas,ASV835.Rhodobacteraceae
4.25E-01,-4.64E-01
ASV836.Exiguobacterium,ASV837.Rhodobacteraceae
-3.79E-01,-3.15E-01
ASV839.DSSD61,ASV853.MBAE14
1.39E+00,-3.37E-01
ASV857.Rhodobacteraceae,ASV865.Rhodobacteraceae
-2.69E-01,-3.72E-01
ASV868.Bacillaceae,ASV870.Pseudonocardiaceae
-1.81E-01,5.87E-01
ASV874.Roseovarius,ASV876.Lutibacter
-1.65E-01,-4.80E-01
ASV881.Rhizobiaceae,ASV882.Catenococcus
-8.30E-02,6.07E-02
ASV883.Methyloligella,ASV900.Exiguobacterium
3.40E-01,-3.93E-01
ASV905.XY.R5,ASV908.Catenococcus
6.51E-01,-4.38E-01
ASV909.Olleya,ASV910.Salinirepens
4.82E-16,-2.23E-01
ASV914.MBAE14,ASV922.Catenococcus
-1.06E-01,3.17E-01
ASV929.Catenococcus,ASV933.Thalassospira
-3.27E-02,-4.66E-01
ASV934.Litorisediminicola,ASV937.Draconibacterium
-5.06E-01,2.80E-01
ASV940.Mesoflavibacter,ASV952.Limnobacter.thiooxidans
1.86E-01,3.65E-01
ASV965.Peptoclostridium,ASV973.Phaselicystis
-2.05E-01,9.72E-01
ASV978.Maribacter,ASV980.Fusibacter
2.54E-16,3.13E-01
ASV986.Psychrobacter,ASV992.Shewanella
-5.71E-01,2.67E-01
ASV1017.Thalassobaculum,ASV1029.Exiguobacterium
2.01E-01,-2.29E-01
ASV1030.Pseudoalteromonas,ASV1048.Exiguobacterium
7.33E-02,-1.94E-01
ASV1050.Catenococcus,ASV1067.Lactobacillus
6.94E-16,1.13E-01
ASV1083.Alphaproteobacteria,ASV1089.Alteromonadales
4.58E-01,-3.72E-01
ASV1099.Psychrobacter,ASV1107.Alcanivorax
-3.78E-01,-3.06E-01
ASV1109.Thalassospira,ASV1121.Catenococcus
-3.70E-01,4.08E-01
ASV1126.Halomonas,ASV1129.Catenococcus
-1.63E-02,5.81E-02
ASV1135.Spongiispira,ASV1140.Vibrionaceae
1.50E-15,-3.39E-01
ASV1143.Catenococcus,ASV1147.Pseudoalteromonas
-6.58E-02,2.81E-01
ASV1152.Sediminibacterium,ASV1161.Pseudoalteromonadaceae
6.35E-01,3.30E-02
ASV1178.Catenococcus,ASV1184.Thalassospira
-4.92E-01,-1.06E-01
ASV1188.Acinetobacter,ASV1190.Sunxiuqinia
1.93E-01,-2.71E-01
ASV1194.Catenococcus,ASV1195.Flavobacteriaceae
6.26E-02,-5.31E-02
ASV1214.Marinomonas,ASV1220.Catenococcus
-3.60E-01,-3.89E-02
ASV1247.Exiguobacterium,ASV1257.MBAE14
-1.85E-01,-2.44E-01
ASV1307.Sphingomonadaceae,ASV1312.Exiguobacterium
9.63E-02,-2.28E-01
ASV1324.Sunxiuqinia,ASV1334.Rhodobacteraceae
-2.28E-02,-2.37E-02
ASV1341.Alteromonadaceae,ASV1364.Breoghania
3.55E-01,-1.79E-01
ASV1375.Acidipropionibacterium,ASV1377.Rhizobiales
4.63E-01,6.88E-01
ASV1388.Alteromonadaceae,ASV1406.MBAE14
3.89E-01,-3.30E-01
ASV1413.Yangia,ASV1425.Pseudophaeobacter
-1.84E-01,1.88E-01
ASV1427.Stenotrophomonas,ASV1470.Exiguobacterium
1.95E-01,-9.44E-02
ASV1572.Pseudoalteromonas,ASV1622.Alteromonas
3.52E-02,9.58E-03
ASV1724.Spirosoma,ASV1725.Marinobacter
9.39E-02,3.37E-01
ASV1836.Rhodobacteraceae,ASV1849.Sphingomonas
-1.44E-01,9.17E-02
ASV1856.Thalassospira,ASV1868.Halomonadaceae
-3.36E-01,-1.51E-02
ASV2069.Rhodobacteraceae,ASV2078.Truepera
9.57E-02,5.52E-02
ASV2122.Domibacillus,ASV2220.Carboxylicivirga
9.68E-02,-6.86E-02
ASV2488.Alcanivorax,ASV2875.Chryseobacterium
1.26E-01,1.79E-01
ASV2876.FBP,ASV2927.C1.B045
8.93E-02,1.88E-01
