.wavelength	spc
1770	-0.0292342660916118
1771	-0.0297641760767699
1772	-0.030860154392082
1773	-0.031956401939644
1774	-0.0334285253101683
1775	-0.0350231126196598
1776	-0.0357526437590508
1777	-0.0370779678066741
1778	-0.036587108162864
1779	-0.0365599671475643
1780	-0.0354125264505199
1781	-0.0338633208286998
1782	-0.0319677860628609
1783	-0.0293712799069899
1784	-0.026513673864307
1785	-0.0234514386360534
1786	-0.0202946969303295
1787	-0.0167564225721466
1788	-0.0137586447040522
1789	-0.0108567067942948
1790	-0.00817245934030601
1791	-0.0073064063608326
1792	-0.00540532908403002
1793	-0.00556128244419305
1794	-0.00487302890073889
1795	-0.00432494529298225
1796	-0.00370545248989924
1797	-0.00250183751979223
1798	-0.00131749069752436
1799	-0.000116364821136132
1800	0.00134045501668235
1801	0.00295295635400635
1802	0.00419928803957364
1803	0.00656103238552164
1804	0.00776471844092734
1805	0.00960581638135435
1806	0.0109520691979725
1807	0.0114776203312347
1808	0.0120590532006436
1809	0.0117448509530954
1810	0.0114335739700689
1811	0.0112204978901749
1812	0.0111900621277535
1813	0.0112303420055319
1814	0.0116238619725483
1815	0.0118451635985805
1816	0.0119478192988363
1817	0.012878568044399
1818	0.0127894061254497
1819	0.0141604737868996
1820	0.0153304872377152
1821	0.017562147595237
1822	0.0206049826926722
1823	0.0243500124684014
1824	0.0280694757503096
1825	0.0314349654470741
1826	0.0338150859861764
1827	0.0351246010718086
1828	0.0350518208120497
1829	0.0346099919355633
1830	0.0329916823550734
1831	0.0317168249727396
1832	0.0291869435986452
1833	0.0267539255735851
1834	0.0232823913702966
1835	0.0194489003304856
1836	0.0161032151272155
1837	0.0127494604465768
1838	0.0107878354705038
1839	0.0096843755026861
1840	0.00941850458802542
1841	0.00928472108014142
1842	0.00891779368705323
1843	0.00726770014539394
1844	0.00552836490656957
1845	0.00237272257625551
1846	-0.000245526941263239
1847	-0.00405066328449081
1848	-0.00728251167022217
1849	-0.0109394466489905
1850	-0.0145351526429338
1851	-0.0176319274642636
1852	-0.0202775671614126
1853	-0.0219392473490845
1854	-0.0223623021944132
1855	-0.0219389740141029
1856	-0.0206505782327829
1857	-0.0189740389196154
1858	-0.0175129681302124
1859	-0.0154308209645145
1860	-0.014017902731391
1861	-0.0121217086585903
1862	-0.0097703565533554
1863	-0.00746606544482016
1864	-0.00471414122139284
1865	-0.00249123385259086
1866	-0.000832877772759653
1867	5.36802198906315e-07
1868	0.000250716247718595
1869	-0.000533321510583825
1870	-0.00109792109961021
1871	-0.00252076655640696
1872	-0.00353455239173145
1873	-0.00446800207499237
1874	-0.00573374738760586
1875	-0.00524073816081718
1876	-0.00546799979960634
1877	-0.00372139570816881
1878	-0.0018867813344138
1879	0.000478035988644127
1880	0.00291009849253414
1881	0.00531661969039054
1882	0.00702176404928041
1883	0.00871133785227192
1884	0.00977726558022377
1885	0.0106534990957323
1886	0.0118771765492269
1887	0.0126256866146937
1888	0.014768249346324
1889	0.0163758236361633
1890	0.0192440094556557
1891	0.0217465147501774
1892	0.0240282746295949
1893	0.0256828646247704
1894	0.0262490987431737
1895	0.0254131108207406
1896	0.0239302627777609
1897	0.0210286849892442
1898	0.0182255313174306
1899	0.0149977666508206
1900	0.0122559545688432
1901	0.0114231581388996
1902	0.0101797474605476
1903	0.012673504389774
1904	0.0149217400722423
1905	0.0197756120544964
1906	0.0249266744930805
1907	0.0305103690569085
1908	0.0354505561471856
1909	0.039780027366719
1910	0.0419543857562817
1911	0.04421869917513
1912	0.0443971510524078
1913	0.0447025644448614
1914	0.0450447109485432
1915	0.0439547783484696
1916	0.0445430752779321
1917	0.0437095787889549
1918	0.0435352300725998
1919	0.0432813567489018
1920	0.0427098912309683
1921	0.0420787719004646
1922	0.0412801195697773
1923	0.0399503011913025
1924	0.0387746161823522
1925	0.0375909791034241
1926	0.0363905955365205
1927	0.0377957243438691
1928	0.0383642258622884
1929	0.0434715048142058
1930	0.0481345407395923
1931	0.0547262176572997
1932	0.0612336435178192
1933	0.0668661428672641
1934	0.0717987564149268
1935	0.075553640239282
1936	0.078200796150176
1937	0.0805534866979382
1938	0.0822829399137993
1939	0.0832814527567489
1940	0.084211853602415
1941	0.0833864641808134
1942	0.0829913959695296
1943	0.0813727324094443
1944	0.0797527692771312
