.wavelength,Bacillus,Community,Control,Thioclava
722,4.407732744613593,4.586670915010737,4.734888049887367,4.881375629421452
723,4.344167830582232,4.506243809699816,4.658143846643448,4.802865849119602
724,4.2653047687251435,4.410399360388882,4.56613972163035,4.708877538850107
725,4.1294625553565,4.249836095540867,4.408077059229382,4.545183688683017
726,3.9796630883223147,4.075187658177809,4.236377983170242,4.367636147473764
727,3.7883701178712332,3.8564555759653967,4.018474767777244,4.141960081158602
728,3.5777019282441236,3.6176233036706895,3.7800060059015763,3.894742742646833
729,3.344610331829322,3.3588250852474935,3.519885811188719,3.6260092446631234
730,3.095592258409107,3.085485673227528,3.244334957422922,3.341253518632963
731,2.834802054327339,2.8048170052848724,2.9609060751553287,3.0486453599496226
732,2.56783661681635,2.522069006062722,2.6751663157499697,2.753638769122319
733,2.2962651095272495,2.23862999149005,2.3885602592593145,2.457736242786911
734,2.025887646510157,1.9607280415932697,2.107406156742409,2.1674220755089393
735,1.7601088044061444,1.6904467236424001,1.8334212148495967,1.8849811964523124
736,1.5006285352146957,1.4296028206551679,1.5679212560688687,1.6120765889906332
737,1.2530816156617546,1.1831752754976343,1.3165329666887455,1.3537115178102368
738,1.0244348570967854,0.9583379164107408,1.0850633063999855,1.116838232850934
739,0.8070739529021005,0.7465895059039171,0.8672058509758249,0.8933271753143046
740,0.6254686828176985,0.5730150428626821,0.6864342443525872,0.708181195752728
741,0.4566110900421461,0.4133360203199643,0.5202604892444045,0.5377619295093478
742,0.3277428706960331,0.2949410573614644,0.39594985022533025,0.41007264260189963
743,0.2185330280599241,0.19658635843542047,0.29231801332653307,0.30379348805436046
744,0.1421884641875923,0.13126318626532812,0.22316313307623345,0.23286091318025148
745,0.08839990594094022,0.08826172406522098,0.17712450958453083,0.18590028666621936
746,0.05746524058139465,0.06778401358483989,0.1546365153223448,0.16300744883393334
747,0.04347615835376412,0.06324035006274784,0.1491877629688109,0.15724469978997802
748,0.045090146451250285,0.07372927703371568,0.15935507527542198,0.16704221456599477
749,0.05402285439468061,0.0894696499179637,0.17528964779832307,0.18294607196199456
750,0.07379358704376004,0.11556753793311692,0.20240305930413352,0.20970965337581055
751,0.09388133468231515,0.13984345297265127,0.22661793486903356,0.23444628848988186
752,0.12143746598162394,0.1711480099814252,0.25896907366387495,0.2673694960242383
753,0.1466034837623819,0.19916386275921535,0.2864062448373417,0.29453444651373856
754,0.17623835413868327,0.23102388260695386,0.3180341024120288,0.3266585603661315
755,0.20323747491173366,0.26046928733029234,0.34667549336384357,0.35401333693572923
756,0.23207569140133696,0.29136815238300645,0.376505853580671,0.3830404315274287
757,0.25857605311857285,0.32031142973549476,0.4047689956309044,0.4101131824277089
758,0.2850087263999224,0.34901935510328047,0.4329571870785384,0.4374894913078189
