ASV1.Vibrio,ASV2.Alteromonas
ASV157.Acidobacteriales,ASV158.Pajaroellobacter
-1108.49716,-1087.63828
ASV159.Catenococcus,ASV160.Stappia
-980.09541,-262.56374
ASV161.Oricola,ASV162.Shewanella
-1045.18866,-962.68878
ASV163.Catenococcus,ASV164.Catenococcus
-178.37522,-607.94896
ASV165.Rhodobacteraceae,ASV166.Oricola
-714.29389,-390.00039
ASV167.Catenococcus,ASV168.Nitratireductor
-368.66806,-790.04914
ASV170.Bradyrhizobium,ASV171.Magnetospira
-1181.93973,-719.61229
ASV172.Thalassospira,ASV173.Catenococcus
-239.31653,-55.93165
ASV174.Marinomonas,ASV175.Hyphomonas
-1213.09246,-543.69165
ASV176.Catenococcus,ASV177.Pelagibacterium
-48.25822,-422.79634
ASV178.Catenococcus,ASV179.Catenococcus
-321.40423,-425.79889
ASV180.Chitinophagaceae,ASV181.Gammaproteobacteria
-1194.86101,-108.99735
ASV182.Marinobacter,ASV183.Marinomonas
-1078.2225,-1195.03644
ASV184.Enhydrobacter.aerosaccus,ASV185.Catenococcus
-1243.31899,-900.45376
ASV186.Pseudonocardia.endophytica,ASV187.Alcanivorax
-780.48559,-1019.72228
ASV188.Mycobacterium,ASV189.Acidobacteriales
-1194.6646,-1087.97985
ASV190.Pseudomonas,ASV191.Desulfobulbaceae
-1162.21929,-256.3322
ASV192.Mycobacterium,ASV193.Halomonas
-1039.17163,-1011.04578
ASV194.Rhizobiaceae,ASV196.Catenococcus
-389.40035,-1194.34179
ASV197.Vibrio,ASV198.Pseudoalteromonas
-286.81787,-675.23792
ASV199.Halodesulfovibrio.oceani,ASV200.Staphylococcus
-340.02846,-1175.60301
ASV201.Catenococcus,ASV202.Oricola
-296.56642,-1102.49655
ASV203.Tenacibaculum,ASV204.Sunxiuqinia
-1019.89769,-381.19738
ASV205.Vibrio,ASV206.Alcanivorax
-573.53333,-1195.81526
ASV207.Bacillaceae,ASV208.Delftia
-758.66706,-1233.05086
ASV209.Rhodocista,ASV210.Thioclava
-864.26811,-412.37787
ASV211.Aestuariibacter,ASV212.Catenococcus
-928.33784,-555.93479
ASV213.Methyloceanibacter,ASV214.Catenococcus
-856.39001,-760.10765
ASV215.Neptunomonas.phycophila,ASV216.Cucumibacter.marinus
-642.12454,-525.30026
ASV217.Aestuariibacter,ASV218.Rhodobacteraceae
-754.26094,-339.77296
ASV219.Bacillus,ASV220.Vibrionaceae
-496.52283,-496.96304
ASV222.Psychrobacter,ASV223.Reyranella
-985.66204,-1172.00945
ASV224.Catenococcus,ASV225.Vibrio
-772.90601,-594.51144
ASV226.Rhodobacteraceae,ASV228.Desulfotalea
-1226.95303,-326.65996
ASV229.Halomonadaceae,ASV230.Oricola
-280.87522,-489.23136
ASV231.Thalassobaculum,ASV232.Stenotrophomonas.maltophilia
-639.24388,-1235.1303
ASV233.Marinobacterium.georgiense,ASV234.Caenimonas
-556.16384,-1213.34105
ASV235.Thioclava.indica,ASV236.Desulfofrigus
-330.05821,-448.3226
ASV237.Catenococcus,ASV238.Catenococcus
-969.65469,-851.73857
ASV239.Woeseia,ASV243.Aurantivirga
-513.08444,-1015.41904
ASV244.Shewanella,ASV245.Catenococcus
-744.50113,-900.43621
ASV246.Rheinheimera,ASV247.Hyphobacterium.vulgare
-531.93699,-946.49992
ASV248.Alteromonas,ASV250.EF100.94H03
-976.73599,-681.31459
ASV251.Marinifilaceae,ASV252.Nitrospira
-396.20556,-772.98815
ASV253.Truepera,ASV254.Thalassospira
-940.47651,-414.39667
ASV255.Vibrionaceae,ASV256.Amorphus.coralli
-983.48776,-790.65521
ASV257.Bacillaceae,ASV258.Bacteroidales
-539.64535,-646.14831
ASV259.Pseudahrensia,ASV260.Desulfopila
-841.99382,-386.42301
ASV261.Constrictibacter,ASV263.Catenococcus
-773.44038,-605.68625
ASV264.DSSD61,ASV265.Catenococcus
-887.41949,-1038.28946
ASV266.Catenococcus,ASV267.Halomonas
-641.36407,-890.82808
ASV269.Catenococcus,ASV270.Fusibacter
-718.79436,-388.61839
ASV271.Catenococcus,ASV272.Pseudomonas
-951.75702,-1263.44719
ASV273.MSBL8,ASV274.Catenococcus
-532.34899,-335.2864
ASV275.Catenococcus,ASV276.Lysinibacillus
-871.7055,-1160.67154
ASV277.Alteromonadaceae,ASV278.Catenococcus
-1168.54092,-912.20546
ASV279.Alcanivorax.venustensis,ASV280.Nitratireductor
-512.8895,-645.43288
ASV281.Sediminibacterium,ASV282.Fimbriiglobus
-943.33557,-989.86829
ASV284.Marinobacter,ASV285.Thalassobaculum
-464.3291,-762.37124
ASV286.Catenococcus,ASV287.Rhizobiales
-931.24941,-956.208
ASV288.Alteromonas,ASV289.Neptunomonas
-1067.47756,-774.66302
ASV290.Agaribacter,ASV291.Desulfovibrio
-1158.99263,-486.15518
ASV292.Rhizobiales,ASV293.Bacteria
-906.42114,-439.2489
ASV294.Desulfopila,ASV295.Oricola
-811.39947,-1129.58018
ASV296.Fusibacter,ASV297.Halodesulfovibrio
-584.53253,-516.30631
ASV299.Bacillaceae,ASV300.Marinifilaceae
-695.30414,-654.11015
ASV301.Lutibacter,ASV302.Proteobacteria
-1000.25426,-400.07781
ASV304.OPB56,ASV305.Amorphus.suaedae
-615.24456,-730.00316
ASV306.Catenococcus,ASV307.XY.R5
-815.71108,-816.60596
ASV308.Haliangium,ASV310.Rhodobacteraceae
-1233.06798,-426.73232
ASV311.Olleya.marilimosa,ASV312.Planctomicrobium
-1053.07179,-819.58497
ASV313.Vibrionaceae,ASV314.Reyranella
-815.68918,-933.6983
ASV315.Fusibacter,ASV316.Gammaproteobacteria
-527.6526,-1028.1346
ASV317.Subgroup_2,ASV319.Pseudomonas
-1175.68876,-1235.0821
ASV320.Gelidibacter.sediminis,ASV321.Rhodobacteraceae
-1200.05929,-1219.10395
ASV322.Bacillaceae,ASV323.Catenococcus
-680.17542,-437.06656
ASV325.Gemmataceae,ASV326.Kinneretia
-1174.89844,-1021.55863
ASV327.Desulfopila,ASV328.Desulfopila
-627.3954,-503.58496
ASV329.Carboxylicivirga,ASV330.Catenococcus
-558.45071,-861.87992
ASV331.Vibrionaceae,ASV334.Fibrella
-983.71804,-1311.80567
ASV335.Catenococcus,ASV336.Gammaproteobacteria
-920.93193,-1065.1381
ASV337.Bacillaceae,ASV338.Draconibacterium
-710.04106,-1222.66491
ASV339.Tistlia,ASV340.Roseicitreum
-667.26605,-1008.82355
ASV341.Catenococcus,ASV342.Thalassobaculum
-1039.31096,-729.04976
ASV343.Rhodobacteraceae,ASV344.Stakelama
-519.37478,-921.81316
ASV345.Alteromonas,ASV346.Acinetobacter
-1233.90261,-1089.12981
ASV347.Catenococcus,ASV348.Psychrobacter
-974.90412,-1026.53311
ASV349.Catenococcus,ASV350.Marinobacterium
-814.03047,-836.32294
ASV351.Rhodobacteraceae,ASV353.Shewanella
-1052.95672,-730.14587
ASV354.Catenococcus,ASV355.Desulfobacteraceae
-1026.81766,-664.90474
ASV357.Filomicrobium,ASV358.Catenococcus
-946.71141,-726.32949
ASV359.Hyphobacterium,ASV361.Rhizobiales
-854.76794,-865.72807
ASV362.Catenococcus,ASV363.DSSD61
-668.30272,-1059.39479
ASV364.Catenococcus,ASV366.Desulfobulbus
-1058.53838,-597.61771
ASV367.Thalassospira,ASV368.Kinneretia
-772.43297,-941.94806
ASV369.Hyphobacterium,ASV370.Catenococcus
-948.11649,-955.32737
ASV371.Flavobacteriaceae,ASV372.Catenococcus
-1263.29235,-1027.0894
ASV373.Marinobacterium.stanieri,ASV377.Vibrio
-698.2879,-635.66956
ASV378.Catenococcus,ASV379.Catenococcus
-536.73488,-566.82423
ASV381.Tenacibaculum.mesophilum,ASV382.Aquamicrobium
-1036.68265,-1100.17152
ASV383.Bacillaceae,ASV384.Catenococcus
-1018.97074,-977.02569
ASV385.Clostridiales,ASV386.MBAE14
-672.08703,-693.81852
ASV387.Oricola,ASV388.Catenococcus
-1098.11296,-835.27822
ASV389.Catenococcus,ASV390.Catenococcus
-886.12609,-914.59768
ASV391.Catenococcus,ASV392.Aeribacillus.pallidus
-1212.37645,-1214.95276
ASV393.Fusibacter,ASV394.Woeseia
-585.1307,-903.8033
ASV396.Catenococcus,ASV397.Catenococcus
-568.52431,-1068.07547
ASV399.Bacteria,ASV400.Desulfobulbaceae
-621.3897,-677.36779
ASV401.Desulfofrigus,ASV404.Marinifilum
-721.88396,-805.60015
ASV406.Nitratireductor,ASV407.Chroococcidiopsaceae
-772.05017,-1304.69028
ASV410.Thalassospira,ASV411.Vibrio
-1140.19251,-722.98804
ASV412.Fusibacter,ASV414.Cohaesibacter
-677.37835,-1156.01961
ASV416.Terasakiella.pusilla,ASV417.Bacillus
-890.68545,-909.08068
ASV418.Thalassobaculum,ASV419.OPB56
-905.56463,-735.08124
ASV420.Marinifilum,ASV421.Bacillaceae
-656.67813,-943.40135
ASV422.Marivirga,ASV423.Alteromonas
-663.18167,-920.25326
ASV425.Roseovarius,ASV426.Methyloligella
-739.02929,-972.05353
ASV427.Alphaproteobacteria,ASV428.Marinobacterium
-802.91022,-815.20085
ASV430.Burkholderiaceae,ASV431.Alteromonas
-1029.26718,-1255.0742
ASV432.Rhodobacteraceae,ASV433.Oricola
-846.89706,-1141.07462
ASV434.Brevibacterium,ASV435.Magnetospira
-1278.36397,-942.18261
ASV436.Alphaproteobacteria,ASV437.Mesoflavibacter
-921.41583,-928.43252
ASV439.Xanthobacteraceae,ASV440.Vibrionaceae
-1042.73689,-661.40583
ASV441.Clostridiales,ASV442.Catenococcus
-715.32687,-757.19832
ASV443.Sunxiuqinia,ASV444.Catenococcus
-1132.82182,-1017.05575
ASV445.Alteromonas,ASV447.Marinomonas
-1272.56782,-1175.20232
ASV448.Catenococcus,ASV449.Thiobacimonas
-883.98895,-986.22435
ASV450.Vibrio,ASV451.Sunxiuqinia
-1017.23492,-740.82789
ASV452.Catenococcus,ASV453.Spirochaeta_2
-1021.04521,-753.51923
ASV455.Pajaroellobacter,ASV456.Lutibaculum
-1194.87767,-943.37635
ASV457.Vibrio,ASV458.Fusibacter
-846.74687,-718.7765
ASV459.Pseudoalteromonadaceae,ASV460.Catenococcus
-1035.58059,-1046.49249
ASV461.Hyphomicrobiaceae,ASV462.Brevibacterium
-1012.92366,-1278.6889
ASV463.Vibrionaceae,ASV464.Brevundimonas
-762.05379,-1121.75574
ASV465.Pseudoalteromonadaceae,ASV467.Hoeflea
-801.3498,-1029.7755
ASV470.Catenococcus,ASV471.Catenococcus
-782.1533,-780.66848
ASV472.Clostridiales,ASV475.Vibrio
-786.04026,-831.18094
ASV477.Antarctobacter.heliothermus,ASV478.Fusibacter
-792.51657,-740.86194
ASV479.Desulfovibrio,ASV480.Oligotropha
-752.32167,-1054.5318
ASV481.Catenococcus,ASV483.Gammaproteobacteria
-1059.54253,-908.08947
ASV485.Filomicrobium,ASV488.Crocinitomicaceae
-974.54982,-902.79271
ASV490.Microbacteriaceae,ASV492.Solibacteraceae_.Subgroup_3.
-1007.98202,-982.77674
ASV494.Alteromonadaceae,ASV497.Catenococcus
-1008.54337,-936.26233
ASV498.Thermopetrobacter,ASV499.Catenococcus
-909.60198,-952.39308
ASV501.Thalassospira,ASV503.Gammaproteobacteria
-1093.12605,-938.02432
ASV504.Vibrionaceae,ASV505.Aquabacterium
-1028.61626,-1061.37066
ASV506.Bacillaceae,ASV507.Burkholderiaceae
-1118.50042,-947.13138
ASV508.Desulfopila,ASV509.Thalassospira
-895.23467,-993.07327
ASV510.Rheinheimera,ASV511.Fusibacter
-937.47872,-820.24638
ASV514.Alteromonadaceae,ASV515.Thioclava.dalianensis
-1226.07596,-996.61856
ASV516.Alteromonadales,ASV517.Vibrio
-752.82473,-900.04488
ASV518.Bacillaceae,ASV519.Acidibacter
-1135.53311,-1265.20986
ASV521.Bacteroidales,ASV522.Bacteriovoracaceae
-975.53511,-975.87936
ASV523.Vibrio,ASV527.Catenococcus
-996.31157,-892.93108
ASV528.Martelella,ASV529.Catenococcus
-1020.10075,-988.05988
ASV531.Ferrimonas.sediminum,ASV535.Celeribacter
-915.08571,-943.10954
ASV538.Vibrio,ASV539.Marinobacterium
-867.36079,-844.15891
ASV543.Sedimentitalea,ASV545.Thalassospira
-993.11248,-1196.11753
ASV547.Alteromonadaceae,ASV551.Fodinicurvataceae
-1023.53264,-986.7559
ASV552.Maritalea,ASV553.DSSD61
-1033.22143,-1089.00923
ASV558.Catenococcus,ASV559.Rhizobiales
-1080.10905,-1124.17092
ASV564.Pelagibacterium,ASV565.Alteromonas
-943.045,-917.72385
ASV566.Enterovibrio,ASV569.Acidiphilium
-985.98781,-1302.0047
ASV571.Muricauda,ASV572.Halomonadaceae
-994.05555,-1085.71546
ASV573.Catenococcus,ASV575.Roseicitreum
-1192.22985,-1189.00349
ASV578.Halomonadaceae,ASV584.Catenococcus
-892.37029,-1084.9666
ASV585.DSSD61,ASV588.XY.R5
-1090.40818,-1177.09834
ASV591.Kordiimonas,ASV594.Gammaproteobacteria
-1034.39642,-1130.3116
ASV595.Catenococcus,ASV598.Methylophaga.nitratireducenticrescens
-1069.52614,-922.1214
ASV599.Thalassobaculum,ASV600.Corynebacterium_1.kroppenstedtii
-958.64657,-1312.72196
ASV601.Neptunomonas,ASV604.Bacillaceae
-933.1976,-1224.50289
ASV611.Alcanivorax,ASV612.Pelagibacterium
-976.00763,-983.72939
ASV614.Bacillaceae,ASV615.Alteromonadaceae
-1111.48593,-881.75909
ASV620.Neptunomonas.concharum,ASV621.Pseudomonadaceae
-912.19306,-1092.13606
ASV624.Halomonadaceae,ASV625.Gammaproteobacteria
-1151.41971,-914.97251
ASV626.Streptococcus,ASV627.Alteromonadaceae
-1313.82058,-1062.9257
ASV629.Marinobacter,ASV633.Proteobacteria
-882.33327,-1031.99852
ASV634.Bacillaceae,ASV639.Corynebacterium_1
-974.80911,-1234.46532
ASV640.Catenococcus,ASV641.DSSD61
-1171.3431,-1112.69705
ASV642.Agaribacter,ASV643.Halomonas
-1102.44217,-1132.1751
ASV645.Alteromonadaceae,ASV646.Catenococcus
-1100.16607,-960.88781
ASV647.Cohaesibacter,ASV651.Chitinophagaceae
-1159.40588,-1121.17025
ASV653.Spongiispira,ASV661.Rhodobacteraceae
-1096.94941,-1171.59668
ASV662.Agaribacter,ASV664.Vibrio
-1035.39363,-906.05232
ASV667.Catenococcus,ASV668.Maribacter.forsetii
-1181.35814,-995.74653
ASV669.Vibrio.tasmaniensis,ASV672.Aquabacterium
-944.13647,-1123.41229
ASV677.Rhizobiaceae,ASV681.Neptunomonas
-1142.15588,-1033.97612
ASV687.Corynebacteriales,ASV692.Catenococcus
-1132.39412,-1041.64065
ASV693.Sunxiuqinia,ASV697.Alteromonas
-1193.99191,-1189.00164
ASV701.Kordiimonas,ASV702.Yangia.pacifica
-1139.90954,-1159.13272
ASV713.Ralstonia,ASV714.Hyphobacterium
-1255.01869,-1094.19464
ASV716.Mesorhizobium,ASV717.Streptococcus
-1048.36608,-1261.32315
ASV719.Flavobacteriaceae,ASV724.Nautella.italica
-1267.37486,-985.39384
ASV725.Sunxiuqinia,ASV726.Bacillaceae
-1141.99158,-1104.70393
ASV730.Vibrio.bivalvicida,ASV731.Vibrio
-1213.86396,-1090.37555
ASV732.Pelagibacterium,ASV734.Truepera
-1069.41031,-1077.09311
ASV737.Catenococcus,ASV740.Tenacibaculum
-1154.90322,-1112.31067
ASV747.Alteromonadaceae,ASV748.Olleya.marilimosa
-1057.10534,-1102.25787
ASV750.Thiobacimonas,ASV752.Burkholderiaceae
-996.472,-1151.72517
ASV753.Oricola,ASV759.Tepidamorphus
-1098.66319,-1222.16654
ASV760.Catenococcus,ASV766.Roseobacter
-1170.0444,-967.89789
ASV770.Rhodobacteraceae,ASV773.Catenococcus
-1209.25467,-1074.0017
ASV775.Catenococcus,ASV776.Marinobacterium
-994.61959,-1010.76418
ASV779.Thiobacimonas,ASV783.Rhodobacteraceae
-1183.3429,-1174.45661
ASV789.Halomonas,ASV790.Catenococcus
-1058.89447,-917.59364
ASV791.Rhizobiaceae,ASV795.Alcanivorax
-1160.68192,-1211.56731
ASV796.Aliisedimentitalea,ASV800.Acinetobacter
-972.26346,-1184.54242
ASV802.Catenococcus,ASV804.Rheinheimera
-1117.85446,-1082.64089
ASV818.Hyphomonas,ASV819.Thalassospira
-1280.93688,-1143.37787
ASV822.Pelagibacterium,ASV827.Alcanivorax
-1118.55021,-1119.61246
ASV831.Alteromonas,ASV835.Rhodobacteraceae
-1193.20271,-1213.88516
ASV836.Exiguobacterium,ASV837.Rhodobacteraceae
-1233.23627,-1173.78148
ASV839.DSSD61,ASV853.MBAE14
-1107.93523,-967.38279
ASV857.Rhodobacteraceae,ASV865.Rhodobacteraceae
-1196.57414,-1186.38297
ASV868.Bacillaceae,ASV870.Pseudonocardiaceae
-1166.01638,-1147.51346
ASV874.Roseovarius,ASV876.Lutibacter
-1026.83324,-1139.79697
ASV881.Rhizobiaceae,ASV882.Catenococcus
-1249.49623,-1120.48507
ASV883.Methyloligella,ASV900.Exiguobacterium
-1233.01338,-1232.65782
ASV905.XY.R5,ASV908.Catenococcus
-1182.74328,-1140.51359
ASV909.Olleya,ASV910.Salinirepens
-1121.88598,-1043.70316
ASV914.MBAE14,ASV922.Catenococcus
-1058.36309,-1109.83235
ASV929.Catenococcus,ASV933.Thalassospira
-1098.08941,-1174.13768
ASV934.Litorisediminicola,ASV937.Draconibacterium
-1222.3125,-1250.31013
ASV940.Mesoflavibacter,ASV952.Limnobacter.thiooxidans
-1053.115,-1232.81952
ASV965.Peptoclostridium,ASV973.Phaselicystis
-1087.7465,-1187.74295
ASV978.Maribacter,ASV980.Fusibacter
-1125.81843,-1109.93211
ASV986.Psychrobacter,ASV992.Shewanella
-1185.46668,-1074.83522
ASV1017.Thalassobaculum,ASV1029.Exiguobacterium
-1167.30996,-1261.18451
ASV1030.Pseudoalteromonas,ASV1048.Exiguobacterium
-1102.03015,-1270.61354
ASV1050.Catenococcus,ASV1067.Lactobacillus
-1127.66926,-1313.49515
ASV1083.Alphaproteobacteria,ASV1089.Alteromonadales
-1196.41429,-1233.47266
ASV1099.Psychrobacter,ASV1107.Alcanivorax
-1178.86908,-1224.52547
ASV1109.Thalassospira,ASV1121.Catenococcus
-1245.26935,-1216.60426
ASV1126.Halomonas,ASV1129.Catenococcus
-1085.90649,-1103.87989
ASV1135.Spongiispira,ASV1140.Vibrionaceae
-1115.93289,-1158.762
ASV1143.Catenococcus,ASV1147.Pseudoalteromonas
-1224.84952,-1174.62318
ASV1152.Sediminibacterium,ASV1161.Pseudoalteromonadaceae
-1233.38918,-1074.97099
ASV1178.Catenococcus,ASV1184.Thalassospira
-1163.76258,-1262.16534
ASV1188.Acinetobacter,ASV1190.Sunxiuqinia
-1303.70945,-1253.57915
ASV1194.Catenococcus,ASV1195.Flavobacteriaceae
-1101.02098,-1085.15266
ASV1214.Marinomonas,ASV1220.Catenococcus
-1234.10865,-1123.96929
ASV1247.Exiguobacterium,ASV1257.MBAE14
-1272.62844,-1177.8918
ASV1307.Sphingomonadaceae,ASV1312.Exiguobacterium
-1313.58217,-1262.99429
ASV1324.Sunxiuqinia,ASV1334.Rhodobacteraceae
-1237.27346,-1237.67237
ASV1341.Alteromonadaceae,ASV1364.Breoghania
-1284.3978,-1292.1841
ASV1375.Acidipropionibacterium,ASV1377.Rhizobiales
-1234.64195,-1226.57674
ASV1388.Alteromonadaceae,ASV1406.MBAE14
-1236.04351,-1227.55757
ASV1413.Yangia,ASV1425.Pseudophaeobacter
-1245.40289,-1303.22394
ASV1427.Stenotrophomonas,ASV1470.Exiguobacterium
-1303.47388,-1291.94991
ASV1572.Pseudoalteromonas,ASV1622.Alteromonas
-1160.49628,-1174.57344
ASV1724.Spirosoma,ASV1725.Marinobacter
-1313.90062,-1246.74266
ASV1836.Rhodobacteraceae,ASV1849.Sphingomonas
-1239.2063,-1314.1883
ASV1856.Thalassospira,ASV1868.Halomonadaceae
-1248.65505,-1130.3135
ASV2069.Rhodobacteraceae,ASV2078.Truepera
-1293.48751,-1295.82478
ASV2122.Domibacillus,ASV2220.Carboxylicivirga
-1314.13423,-1181.34744
ASV2488.Alcanivorax,ASV2875.Chryseobacterium
-1285.66346,-1305.38343
ASV2876.FBP,ASV2927.C1.B045
-1314.51372,-1293.16905
ASV3064.Hymenobacter,ASV3165.Niveispirillum.irakense
-1314.59377,-1305.47044
ASV3380.Candidatus_Chloroploca,
-1314.68078,
