ASV000711,ASV711: $Xanthobacteraceae$
ASV000713,ASV713: $Ralstonia$
ASV000716,ASV716: $Mesorhizobium$
ASV000718,ASV718: $Catenococcus$
ASV000719,ASV719: $Flavobacteriaceae$
ASV000722,ASV722: $Pseudomonas$
ASV000724,ASV724: $Nautella$ $italica$
ASV000727,ASV727: $Thiobacimonas$
ASV000731,ASV731: $Vibrio$
ASV000732,ASV732: $Pelagibacterium$
ASV000733,ASV733: $Pelagibacterium$
ASV000737,ASV737: $Catenococcus$
ASV000738,ASV738: $Pelagibacterium$
ASV000740,ASV740: $Tenacibaculum$
ASV000743,ASV743: $Thalassospira$
ASV000744,ASV744: $Reyranella$
ASV000748,ASV748: $Olleya$ $marilimosa$
ASV000750,ASV750: $Thiobacimonas$
ASV000752,ASV752: $Burkholderiaceae$
ASV000753,ASV753: $Oricola$
ASV000759,ASV759: $Tepidamorphus$
ASV000762,ASV762: $Halomonadaceae$
ASV000763,ASV763: $Thalassospira$
ASV000764,ASV764: $Rhodobacteraceae$
ASV000765,ASV765: $Thalassospira$
ASV000766,ASV766: $Roseobacter$
ASV000768,ASV768: $Thalassobaculum$
ASV000769,ASV769: $Amorphus$
ASV000770,ASV770: $Rhodobacteraceae$
ASV000771,ASV771: $Alphaproteobacteria$
ASV000772,ASV772: $Curvibacter$
ASV000773,ASV773: $Catenococcus$
ASV000776,ASV776: $Marinobacterium$
ASV000779,ASV779: $Thiobacimonas$
ASV000780,ASV780: $Pelagibacterium$
ASV000783,ASV783: $Rhodobacteraceae$
ASV000784,ASV784: $Desulfatiferula$
ASV000785,ASV785: $Rhizobiaceae$
ASV000789,ASV789: $Halomonas$
ASV000796,ASV796: $Aliisedimentitalea$
ASV000799,ASV799: $Devosiaceae$
ASV000800,ASV800: $Acinetobacter$
ASV000802,ASV802: $Catenococcus$
ASV000805,ASV805: $Halomonadaceae$
ASV000807,ASV807: $Martelella$
ASV000815,ASV815: $Rhodopirellula$
ASV000818,ASV818: $Hyphomonas$
ASV000819,ASV819: $Thalassospira$
ASV000820,ASV820: $Thiobacimonas$
ASV000821,ASV821: $Fodinicurvata$ $sediminis$
ASV000826,ASV826: $Thiobacimonas$
ASV000828,ASV828: $Desulfobacter$
ASV000829,ASV829: $DSSD61$
ASV000835,ASV835: $Rhodobacteraceae$
ASV000840,ASV840: $Marinobacter$
ASV000843,ASV843: $Marinobacterium$
ASV000844,ASV844: $Alcanivorax$
ASV000846,ASV846: $Hyphomonas$
ASV000855,ASV855: $Marinobacterium$
ASV000858,ASV858: $Stappia$ $indica$
ASV000859,ASV859: $Azomonas$
ASV000862,ASV862: $Halomonas$
ASV000863,ASV863: $Thalassospira$
ASV000869,ASV869: $Alphaproteobacteria$
ASV000870,ASV870: $Pseudonocardiaceae$
ASV000874,ASV874: $Roseovarius$
ASV000877,ASV877: $Desulfobacteraceae$
ASV000879,ASV879: $Fimbriiglobus$
ASV000881,ASV881: $Rhizobiaceae$
ASV000883,ASV883: $Methyloligella$
ASV000884,ASV884: $Catenococcus$
ASV000886,ASV886: $Stappia$
ASV000899,ASV899: $Thalassospira$
ASV000904,ASV904: $Alcanivorax$
ASV000907,ASV907: $Rhizobiales$
ASV000909,ASV909: $Olleya$
ASV000919,ASV919: $Hydrobacter$
ASV000920,ASV920: $Thalassospira$
ASV000924,ASV924: $Thalassobaculum$
ASV000927,ASV927: $Reyranella$
ASV000931,ASV931: $Martelella$
ASV000933,ASV933: $Thalassospira$
ASV000934,ASV934: $Litorisediminicola$
ASV000938,ASV938: $Micrococcus$
ASV000940,ASV940: $Mesoflavibacter$
ASV000949,ASV949: $Thalassospira$
ASV000950,ASV950: $Alphaproteobacteria$
ASV000951,ASV951: $Malonomonas$
ASV000952,ASV952: $Limnobacter$ $thiooxidans$
ASV000956,ASV956: $Kinneretia$
ASV000957,ASV957: $Maritalea$
ASV000958,ASV958: $Loktanella$
ASV000962,ASV962: $Halomonadaceae$
ASV000966,ASV966: $Rhodobacteraceae$
ASV000967,ASV967: $Oricola$
ASV000974,ASV974: $Mesorhizobium$
ASV000979,ASV979: $Rhodobacteraceae$
ASV000984,ASV984: $Alcanivorax$ $borkumensis$
ASV000996,ASV996: $Phaeobacter$
ASV001000,ASV1000: $Mesorhizobium$
ASV001005,ASV1005: $Schlesneria$
ASV001007,ASV1007: $Marinobacter$
ASV001010,ASV1010: $Gammaproteobacteria$
ASV001014,ASV1014: $Oricola$
ASV001016,ASV1016: $Thermopetrobacter$
ASV001017,ASV1017: $Thalassobaculum$
ASV001019,ASV1019: $Mesorhizobium$
ASV001021,ASV1021: $Rhizobiales$
ASV001024,ASV1024: $Kinneretia$
ASV001025,ASV1025: $Lacibacter$
ASV001027,ASV1027: $Amphritea$ $atlantica$
ASV001032,ASV1032: $Sulfitobacter$
ASV001036,ASV1036: $Thioclava$
ASV001038,ASV1038: $Halomonadaceae$
ASV001039,ASV1039: $Stappiaceae$
ASV001041,ASV1041: $Salinicola$
ASV001045,ASV1045: $Ideonella$ $sakaiensis$
ASV001047,ASV1047: $Catenococcus$
ASV001051,ASV1051: $Vibrionaceae$
ASV001052,ASV1052: $Marinobacterium$
ASV001053,ASV1053: $Catenococcus$
ASV001059,ASV1059: $Pelagibacterium$
ASV001064,ASV1064: $Rhodobacteraceae$
ASV001073,ASV1073: $Sphingomonadaceae$
ASV001075,ASV1075: $Neptunomonas$
ASV001077,ASV1077: $Stappiaceae$
ASV001081,ASV1081: $Halomonas$
ASV001082,ASV1082: $Rhizobiaceae$
