Wavenumber (cm^-1),LC,LC,LC,LC,LC,LC,LC,LC,LC,PET,PET,PET,PET,PET,PET,PET,PET,PET,WPET,WPET,WPET,WPET,WPET,WPET,WPET,WPET,WPET
3950.978107,104.2,102.17,101.18,104.2,102.17,101.18,104.2,102.17,101.18,96.62,96.57,98.06,95.41,97.4,98.77,97.65,98.37,96.77,98.26,99.36,99.36,97.06,96.18,101.13,96.18,97.43,96.48
3949.114439,104.3,102.13,101.28,104.3,102.13,101.28,104.3,102.13,101.28,96.67,96.56,98.12,95.46,97.43,98.79,97.64,98.39,96.84,98.42,99.53,99.53,97.09,96.24,101.28,96.23,97.43,96.51
3947.25077,104.23,102.07,101.16,104.23,102.07,101.16,104.23,102.07,101.16,96.61,96.49,98.07,95.45,97.34,98.67,97.54,98.25,96.85,98.22,99.42,99.42,97.07,96.26,101.1,96.17,97.39,96.49
3945.387101,104.21,102.07,101.1,104.21,102.07,101.1,104.21,102.07,101.1,96.59,96.53,98.11,95.45,97.33,98.68,97.58,98.27,96.85,98.15,99.33,99.33,97.03,96.24,100.95,96.14,97.33,96.48
3943.523432,104.2,102.14,101.15,104.2,102.14,101.15,104.2,102.14,101.15,96.68,96.59,98.19,95.52,97.4,98.78,97.74,98.36,96.88,98.36,99.5,99.5,97.09,96.22,101.09,96.22,97.32,96.5
3941.659763,104.04,102.06,101.04,104.04,102.06,101.04,104.04,102.06,101.04,96.74,96.64,98.15,95.48,97.38,98.79,97.78,98.32,96.92,98.4,99.55,99.55,97.14,96.26,101.12,96.23,97.33,96.56
3939.796094,104.07,102.05,100.97,104.07,102.05,100.97,104.07,102.05,100.97,96.82,96.69,98.1,95.48,97.4,98.75,97.72,98.34,96.96,98.39,99.56,99.56,97.12,96.34,101.14,96.26,97.46,96.65
3937.932425,104.15,102.1,101.04,104.15,102.1,101.04,104.15,102.1,101.04,96.7,96.57,98.05,95.47,97.4,98.69,97.7,98.33,96.93,98.41,99.75,99.75,97.12,96.41,101.34,96.3,97.6,96.72
3936.068756,104.08,101.98,101.09,104.08,101.98,101.09,104.08,101.98,101.09,96.47,96.43,97.87,95.33,97.31,98.61,97.61,98.19,96.72,98.27,99.63,99.63,97.11,96.31,101.2,96.21,97.5,96.57
3934.205087,104.03,101.94,101.19,104.03,101.94,101.19,104.03,101.94,101.19,96.45,96.34,97.85,95.28,97.26,98.61,97.54,98.13,96.58,98.35,99.51,99.51,97.15,96.25,101.11,96.2,97.42,96.48
3932.341418,103.94,102.01,101.19,103.94,102.01,101.19,103.94,102.01,101.19,96.65,96.44,98.01,95.42,97.35,98.74,97.63,98.29,96.8,98.41,99.43,99.43,97.17,96.26,101.1,96.22,97.43,96.53
3930.477749,104.02,102,101.09,104.02,102,101.09,104.02,102,101.09,96.72,96.56,98.07,95.47,97.39,98.73,97.6,98.36,96.94,98.41,99.49,99.49,97.14,96.21,101.21,96.17,97.44,96.57
3928.61408,104.09,101.9,101.06,104.09,101.9,101.06,104.09,101.9,101.06,96.65,96.59,98.04,95.44,97.29,98.67,97.56,98.29,96.86,98.32,99.45,99.45,97.01,96.15,101.08,96.05,97.28,96.42
3926.750412,104.25,102.11,101.2,104.25,102.11,101.2,104.25,102.11,101.2,96.66,96.57,98.02,95.42,97.24,98.59,97.54,98.25,96.76,98.38,99.48,99.48,97.07,96.23,101.08,96.16,97.33,96.54
3924.886743,104.09,102.09,101.13,104.09,102.09,101.13,104.09,102.09,101.13,96.56,96.49,98.1,95.47,97.37,98.64,97.59,98.28,96.77,98.33,99.5,99.5,97.22,96.3,101.09,96.2,97.42,96.58
3923.023074,104.01,101.91,101.03,104.01,101.91,101.03,104.01,101.91,101.03,96.45,96.46,98.09,95.51,97.43,98.76,97.62,98.28,96.79,98.21,99.47,99.47,97.19,96.31,101.09,96.2,97.48,96.51
3921.159405,103.88,101.82,101.07,103.88,101.82,101.07,103.88,101.82,101.07,96.26,96.29,98.02,95.45,97.33,98.71,97.57,98.24,96.68,98.24,99.53,99.53,97.09,96.25,101.17,96.2,97.49,96.43
3919.295736,103.85,101.87,101.1,103.85,101.87,101.1,103.85,101.87,101.1,96.38,96.36,98.06,95.4,97.28,98.65,97.6,98.28,96.66,98.28,99.44,99.44,97.05,96.13,101.11,96.16,97.4,96.4
3917.432067,103.98,101.94,101.2,103.98,101.94,101.2,103.98,101.94,101.2,96.75,96.62,98.13,95.46,97.37,98.7,97.64,98.3,96.84,98.5,99.56,99.56,97.12,96.19,101.24,96.2,97.4,96.57
3915.568398,104.18,102.07,101.27,104.18,102.07,101.27,104.18,102.07,101.27,96.9,96.74,98.09,95.48,97.39,98.67,97.69,98.3,96.96,98.5,99.6,99.6,97.11,96.3,101.21,96.17,97.38,96.62
3913.704729,104.34,102.21,101.22,104.34,102.21,101.22,104.34,102.21,101.22,96.83,96.72,98.09,95.47,97.4,98.69,97.74,98.33,96.95,98.49,99.66,99.66,97.08,96.38,101.28,96.19,97.41,96.63
3911.84106,104.23,102.11,101.07,104.23,102.11,101.07,104.23,102.11,101.07,96.76,96.67,98.13,95.47,97.43,98.71,97.68,98.28,96.9,98.45,99.73,99.73,97.15,96.39,101.37,96.23,97.42,96.6
3909.977391,104.09,101.95,100.97,104.09,101.95,100.97,104.09,101.95,100.97,96.56,96.49,98.06,95.45,97.38,98.68,97.63,98.22,96.79,98.3,99.64,99.64,97.2,96.42,101.24,96.27,97.49,96.6
3908.113722,103.89,101.8,100.95,103.89,101.8,100.95,103.89,101.8,100.95,96.14,96.22,97.83,95.34,97.19,98.58,97.52,98.18,96.49,98.03,99.32,99.32,97.09,96.32,100.98,96.25,97.49,96.52
3906.250053,103.98,101.91,101.07,103.98,101.91,101.07,103.98,101.91,101.07,96.06,96.16,97.7,95.23,97.03,98.57,97.4,98.12,96.29,97.74,98.89,98.89,96.95,96.12,100.58,96.21,97.31,96.29
3904.386384,104.02,101.91,101.22,104.02,101.91,101.22,104.02,101.91,101.22,96.24,96.13,97.8,95.28,97.16,98.67,97.45,98.09,96.37,97.78,98.95,98.95,96.94,96.1,100.56,96.1,97.2,96.19
3902.522716,103.92,101.75,101.21,103.92,101.75,101.21,103.92,101.75,101.21,96.59,96.32,97.97,95.38,97.31,98.68,97.57,98.2,96.64,97.91,99.01,99.01,96.99,96.14,100.56,96.01,97.22,96.32
3900.659047,104.07,102.01,101.25,104.07,102.01,101.25,104.07,102.01,101.25,96.99,96.68,98.23,95.51,97.39,98.74,97.72,98.42,97.02,98.37,99.37,99.37,97.13,96.19,100.85,96.17,97.33,96.66
3898.795378,103.94,102.09,101.17,103.94,102.09,101.17,103.94,102.09,101.17,96.97,96.81,98.36,95.64,97.52,98.8,97.84,98.51,97.29,98.55,99.57,99.57,97.3,96.3,101.03,96.28,97.39,96.81
3896.931709,103.88,102,101.1,103.88,102,101.1,103.88,102,101.1,96.7,96.67,98.26,95.65,97.53,98.75,97.83,98.4,97.16,98.44,99.53,99.53,97.28,96.37,101.06,96.3,97.46,96.71
3895.06804,103.85,101.91,101.03,103.85,101.91,101.03,103.85,101.91,101.03,96.38,96.42,98.01,95.48,97.33,98.62,97.65,98.27,96.79,98.13,99.28,99.28,97.09,96.27,100.84,96.15,97.41,96.43
3893.204371,104.06,102.04,101.09,104.06,102.04,101.09,104.06,102.04,101.09,96.5,96.53,97.98,95.41,97.28,98.69,97.56,98.35,96.72,98.18,99.3,99.3,97.12,96.2,100.83,96.2,97.45,96.47
3891.340702,104.05,102.06,101.27,104.05,102.06,101.27,104.05,102.06,101.27,96.62,96.48,98.11,95.52,97.43,98.74,97.64,98.29,96.87,98.48,99.72,99.72,97.28,96.37,101.23,96.34,97.57,96.64
3889.477033,103.78,101.71,101.06,103.78,101.71,101.06,103.78,101.71,101.06,96.44,96.34,98.04,95.47,97.38,98.58,97.6,98.13,96.72,97.92,99.14,99.14,97.04,96.23,100.74,96.09,97.34,96.28
3887.613364,104.21,101.88,101.03,104.21,101.88,101.03,104.21,101.88,101.03,96.56,96.53,98.08,95.48,97.33,98.63,97.52,98.22,96.62,97.87,98.89,98.89,96.91,95.96,100.65,96.12,97.28,96.27
3885.749695,104.01,101.87,101.01,104.01,101.87,101.01,104.01,101.87,101.01,96.53,96.49,98.2,95.57,97.37,98.76,97.58,98.26,96.78,98.2,99.3,99.3,97.03,96.18,100.94,96.25,97.35,96.44
3883.886026,103.8,101.86,101.03,103.8,101.86,101.03,103.8,101.86,101.03,96.42,96.44,98.08,95.44,97.28,98.67,97.63,98.22,96.72,98.01,99.07,99.07,97,96.32,100.61,96,97.21,96.33
3882.022357,104.09,102.25,101.26,104.09,102.25,101.26,104.09,102.25,101.26,96.66,96.6,98.05,95.41,97.29,98.66,97.65,98.29,96.74,98.39,99.26,99.26,97.13,96.33,100.81,96.09,97.26,96.59
3880.158689,104.01,102.17,101.16,104.01,102.17,101.16,104.01,102.17,101.16,96.82,96.67,98.13,95.56,97.51,98.73,97.72,98.35,97,98.6,99.58,99.58,97.3,96.39,101.15,96.28,97.45,96.8
3878.29502,103.9,101.94,101.01,103.9,101.94,101.01,103.9,101.94,101.01,96.55,96.54,98.12,95.54,97.52,98.67,97.66,98.35,96.95,98.29,99.44,99.44,97.23,96.33,100.95,96.18,97.38,96.53
3876.431351,104.13,102.07,101.16,104.13,102.07,101.16,104.13,102.07,101.16,96.48,96.56,98.08,95.45,97.38,98.62,97.59,98.31,96.79,98.22,99.42,99.42,97.22,96.25,100.93,96.21,97.43,96.44
3874.567682,103.86,101.79,101.09,103.86,101.79,101.09,103.86,101.79,101.09,96.09,96.1,97.92,95.34,97.22,98.52,97.47,98.08,96.55,98.14,99.37,99.37,97.17,96.33,100.93,96.22,97.46,96.34
3872.704013,103.97,101.76,101,103.97,101.76,101,103.97,101.76,101,96.28,96.25,97.86,95.28,97.19,98.64,97.44,98.23,96.47,97.46,98.5,98.5,96.95,96.15,100.11,96,97.18,96.09
3870.840344,104.34,102.1,101.18,104.34,102.1,101.18,104.34,102.1,101.18,96.65,96.41,98.02,95.42,97.3,98.79,97.47,98.3,96.71,98.28,99.24,99.24,97.17,96.3,100.92,96.29,97.38,96.61
3868.976675,103.67,101.64,100.93,103.67,101.64,100.93,103.67,101.64,100.93,96.47,96.34,97.99,95.52,97.35,98.73,97.62,98.24,97.01,98.12,99.17,99.17,97.13,96.43,100.67,96.26,97.32,96.51
3867.113006,103.87,101.89,100.98,103.87,101.89,100.98,103.87,101.89,100.98,96.41,96.51,97.98,95.48,97.32,98.75,97.67,98.28,96.96,97.97,99.12,99.12,96.99,96.28,100.51,96.24,97.34,96.46
3865.249337,103.77,101.94,101.15,103.77,101.94,101.15,103.77,101.94,101.15,96.48,96.55,98.17,95.55,97.37,98.77,97.7,98.36,96.92,98.28,99.25,99.25,97.08,96.26,100.7,96.29,97.36,96.58
3863.385668,103.96,101.99,101.21,103.96,101.99,101.21,103.96,101.99,101.21,96.72,96.71,98.25,95.63,97.44,98.67,97.69,98.4,97.02,98.44,99.43,99.43,97.31,96.41,100.92,96.31,97.45,96.76
3861.521999,103.85,101.92,101.13,103.85,101.92,101.13,103.85,101.92,101.13,96.77,96.71,98.21,95.64,97.5,98.66,97.67,98.29,97.04,98.33,99.45,99.45,97.36,96.52,100.94,96.31,97.46,96.74
3859.65833,103.79,101.84,101.03,103.79,101.84,101.03,103.79,101.84,101.03,96.52,96.49,98.11,95.62,97.43,98.67,97.62,98.09,96.8,97.98,99.26,99.26,97.15,96.45,100.82,96.29,97.4,96.51
3857.794662,103.47,101.51,100.69,103.47,101.51,100.69,103.47,101.51,100.69,95.75,95.85,97.79,95.37,97.1,98.52,97.39,97.86,96.2,97.45,98.86,98.86,96.77,96.24,100.5,96.07,97.27,95.96
3855.930993,104.06,101.87,100.85,104.06,101.87,100.85,104.06,101.87,100.85,95.59,95.7,97.47,94.96,96.76,98.44,97.25,97.95,95.86,97.29,98.54,98.54,96.6,95.85,100.2,95.88,97.18,95.66
3854.067324,104.09,102.16,101.31,104.09,102.16,101.31,104.09,102.16,101.31,96.29,96.16,97.86,95.21,97.05,98.63,97.46,98.28,96.6,98.48,99.23,99.23,97.06,96.02,100.85,96.16,97.26,96.46
3852.203655,103.8,101.92,101.24,103.8,101.92,101.24,103.8,101.92,101.24,96.94,96.84,98.31,95.72,97.47,98.79,97.8,98.56,97.39,98.76,99.42,99.42,97.34,96.28,100.96,96.18,97.22,96.79
3850.339986,103.96,101.98,101.17,103.96,101.98,101.17,103.96,101.98,101.17,97.14,97.01,98.39,95.87,97.6,98.84,97.88,98.57,97.46,98.73,99.63,99.63,97.39,96.4,101.15,96.22,97.37,96.89
3848.476317,103.95,102,101.14,103.95,102,101.14,103.95,102,101.14,96.87,96.79,98.28,95.75,97.61,98.81,97.82,98.33,97.2,98.46,99.58,99.58,97.3,96.48,101.11,96.32,97.49,96.86
3846.612648,103.81,101.88,101.11,103.81,101.88,101.11,103.81,101.88,101.11,96.49,96.55,98.11,95.58,97.44,98.71,97.69,98.19,96.87,98.06,99.3,99.3,97.24,96.45,100.85,96.34,97.52,96.7
3844.748979,103.91,101.79,101.06,103.91,101.79,101.06,103.91,101.79,101.06,96.25,96.31,98.02,95.49,97.21,98.64,97.54,98.13,96.53,98.03,99.22,99.22,97.13,96.28,100.84,96.16,97.42,96.46
3842.88531,103.61,101.52,100.97,103.61,101.52,100.97,103.61,101.52,100.97,96.06,96.08,97.97,95.34,97.1,98.6,97.45,98.05,96.33,97.84,98.9,98.9,96.95,96.13,100.61,96.02,97.27,96.19
3841.021641,103.63,101.51,101,103.63,101.51,101,103.63,101.51,101,96.07,96.09,97.95,95.14,97.07,98.58,97.42,98.01,96.33,97.64,98.61,98.61,96.82,96.04,100.28,96.05,97.22,96.13
3839.157972,103.63,101.68,101.04,103.63,101.68,101.04,103.63,101.68,101.04,96.23,96.15,98.07,95.3,97.23,98.71,97.53,98.21,96.65,98.13,98.95,98.95,97.09,96.2,100.58,96.24,97.46,96.46
3837.294303,103.67,101.87,101.02,103.67,101.87,101.02,103.67,101.87,101.02,96.57,96.39,98.16,95.56,97.43,98.76,97.66,98.38,97.05,98.39,99.3,99.3,97.35,96.37,100.86,96.4,97.57,96.68
3835.430634,103.76,101.97,101.03,103.76,101.97,101.03,103.76,101.97,101.03,96.67,96.49,98.16,95.56,97.38,98.65,97.67,98.31,97.15,98.3,99.37,99.37,97.28,96.34,100.76,96.33,97.39,96.62
3833.566966,104.06,102.13,101.14,104.06,102.13,101.14,104.06,102.13,101.14,96.87,96.71,98.19,95.61,97.38,98.7,97.74,98.32,97.16,98.38,99.33,99.33,97.17,96.36,100.72,96.28,97.32,96.74
3831.703297,103.84,101.94,101.12,103.84,101.94,101.12,103.84,101.94,101.12,96.77,96.63,98.18,95.64,97.41,98.71,97.7,98.24,97.05,98.62,99.58,99.58,97.21,96.43,101.07,96.26,97.38,96.78
3829.839628,103.74,101.84,101.08,103.74,101.84,101.08,103.74,101.84,101.08,96.7,96.67,98.11,95.5,97.34,98.63,97.63,98.19,96.88,98.23,99.33,99.33,97.1,96.25,100.79,96.15,97.29,96.53
3827.975959,104.02,102,101.19,104.02,102,101.19,104.02,102,101.19,96.71,96.73,98.12,95.52,97.34,98.66,97.69,98.2,96.84,98.27,99.41,99.41,97.09,96.23,100.99,96.24,97.33,96.61
3826.11229,103.77,101.72,101.09,103.77,101.72,101.09,103.77,101.72,101.09,96.23,96.29,97.94,95.43,97.18,98.53,97.51,97.99,96.62,97.96,99.22,99.22,97.08,96.32,100.88,96.21,97.4,96.48
3824.248621,103.82,101.61,100.97,103.82,101.61,100.97,103.82,101.61,100.97,95.96,96.03,97.73,95.2,96.99,98.43,97.31,98,96.28,97.32,98.54,98.54,96.79,96.02,100.1,95.98,97.31,96.07
3822.384952,104.14,101.95,101.12,104.14,101.95,101.12,104.14,101.95,101.12,96.37,96.28,98.02,95.4,97.3,98.68,97.48,98.28,96.57,98.12,99.15,99.15,96.88,95.98,100.65,96.16,97.39,96.36
3820.521283,103.48,101.56,100.86,103.48,101.56,100.86,103.48,101.56,100.86,96.3,96.2,98.11,95.54,97.44,98.64,97.57,98.21,96.85,98.26,99.28,99.28,97.02,96.21,100.69,96.16,97.32,96.41
3818.657614,104.05,101.87,100.96,104.05,101.87,100.96,104.05,101.87,100.96,96.5,96.5,98,95.36,97.27,98.54,97.6,98.28,96.8,97.86,98.89,98.89,96.9,96.06,100.33,96.05,97.2,96.29
3816.793945,104.3,102.31,101.3,104.3,102.31,101.3,104.3,102.31,101.3,96.78,96.7,98.2,95.47,97.34,98.66,97.7,98.4,97.07,98.68,99.66,99.66,97.1,96.17,101.17,96.29,97.37,96.72
3814.930276,103.89,102.12,101.18,103.89,102.12,101.18,103.89,102.12,101.18,96.96,96.85,98.3,95.74,97.58,98.77,97.84,98.46,97.39,98.69,99.56,99.56,97.32,96.42,101.05,96.31,97.43,96.85
3813.066607,103.98,102.03,101.13,103.98,102.03,101.13,103.98,102.03,101.13,96.86,96.83,98.29,95.8,97.66,98.8,97.81,98.38,97.26,98.62,99.68,99.68,97.4,96.55,101.22,96.41,97.62,96.93
3811.202939,103.8,101.78,101.02,103.8,101.78,101.02,103.8,101.78,101.02,96.4,96.61,98.17,95.6,97.54,98.75,97.68,98.2,96.91,98.09,99.38,99.38,97.19,96.35,100.86,96.17,97.52,96.57
3809.33927,104.1,101.79,101.07,104.1,101.79,101.07,104.1,101.79,101.07,96.43,96.65,97.96,95.33,97.28,98.67,97.53,98.15,96.63,97.81,99.03,99.03,97.05,96.03,100.52,96.03,97.37,96.32
3807.475601,103.94,101.67,101.07,103.94,101.67,101.07,103.94,101.67,101.07,96.43,96.47,97.92,95.38,97.23,98.61,97.4,98.08,96.59,98.29,99.4,99.4,97.12,96.16,101.04,96.19,97.41,96.55
3805.611932,103.52,101.47,100.87,103.52,101.47,100.87,103.52,101.47,100.87,96.06,96.14,97.84,95.38,97.19,98.47,97.33,98,96.47,97.7,98.92,98.92,96.91,96.18,100.52,95.97,97.24,96.28
3803.748263,104.09,101.96,101.06,104.09,101.96,101.06,104.09,101.96,101.06,96.27,96.22,97.89,95.34,97.08,98.56,97.45,98.25,96.47,97.65,98.81,98.81,96.98,96.02,100.34,96.12,97.34,96.28
3801.884594,103.89,102.05,101.15,103.89,102.05,101.15,103.89,102.05,101.15,96.51,96.29,98.07,95.49,97.19,98.67,97.57,98.31,96.82,98.57,99.52,99.52,97.31,96.25,101.02,96.39,97.43,96.63
3800.020925,103.64,101.83,100.96,103.64,101.83,100.96,103.64,101.83,100.96,96.57,96.53,98.12,95.6,97.34,98.62,97.62,98.27,97.09,98.29,99.28,99.28,97.19,96.26,100.65,96.1,97.14,96.49
3798.157256,103.85,102.03,101,103.85,102.03,101,103.85,102.03,101,96.72,96.72,98.14,95.65,97.41,98.66,97.61,98.31,97.14,98.52,99.49,99.49,97.19,96.25,100.98,96.18,97.32,96.64
3796.293587,103.74,102.1,101.09,103.74,102.1,101.09,103.74,102.1,101.09,96.85,96.76,98.16,95.63,97.44,98.68,97.64,98.35,97.16,98.57,99.5,99.5,97.26,96.38,101.05,96.25,97.44,96.76
3794.429918,103.81,102.04,101.1,103.81,102.04,101.1,103.81,102.04,101.1,96.88,96.77,98.14,95.56,97.44,98.65,97.68,98.35,97.11,98.44,99.47,99.47,97.2,96.38,100.98,96.19,97.42,96.74
3792.566249,103.89,102,101.17,103.89,102,101.17,103.89,102,101.17,96.73,96.74,98.11,95.48,97.4,98.68,97.65,98.28,96.95,98.46,99.59,99.59,97.1,96.27,101.07,96.16,97.38,96.63
3790.70258,104.08,102.04,101.29,104.08,102.04,101.29,104.08,102.04,101.29,96.57,96.75,98.07,95.45,97.37,98.69,97.59,98.17,96.79,98.43,99.59,99.59,97.05,96.27,101.14,96.16,97.35,96.52
3788.838912,104.16,102.06,101.2,104.16,102.06,101.2,104.16,102.06,101.2,96.48,96.62,98.01,95.44,97.39,98.68,97.57,98.17,96.76,98.18,99.31,99.31,97.05,96.26,100.91,96.14,97.32,96.43
3786.975243,104.17,102.06,101.2,104.17,102.06,101.2,104.17,102.06,101.2,96.56,96.56,98.06,95.45,97.38,98.68,97.59,98.21,96.82,98.11,99.21,99.21,97.11,96.22,100.82,96.21,97.38,96.47
3785.111574,103.99,101.98,101.16,103.99,101.98,101.16,103.99,101.98,101.16,96.52,96.53,98.06,95.49,97.31,98.64,97.56,98.13,96.83,98.33,99.43,99.43,97.19,96.26,101.04,96.25,97.43,96.51
3783.247905,103.82,101.78,101.03,103.82,101.78,101.03,103.82,101.78,101.03,96.33,96.45,97.95,95.45,97.29,98.65,97.54,98.16,96.76,98.18,99.32,99.32,97.11,96.22,100.93,96.11,97.37,96.38
3781.384236,104,101.86,101.05,104,101.86,101.05,104,101.86,101.05,96.49,96.52,97.96,95.43,97.29,98.73,97.55,98.25,96.75,98.2,99.33,99.33,97.12,96.14,100.95,96.15,97.38,96.52
3779.520567,103.94,101.97,101.1,103.94,101.97,101.1,103.94,101.97,101.1,96.67,96.63,98.07,95.5,97.33,98.73,97.6,98.29,96.86,98.43,99.48,99.48,97.31,96.32,101.16,96.27,97.45,96.73
3777.656898,103.99,102.01,101.12,103.99,102.01,101.12,103.99,102.01,101.12,96.72,96.81,98.14,95.53,97.42,98.7,97.74,98.36,97.03,98.38,99.38,99.38,97.26,96.3,101.02,96.21,97.41,96.6
3775.793229,104.01,101.94,101.11,104.01,101.94,101.11,104.01,101.94,101.11,96.64,96.69,98.09,95.49,97.38,98.63,97.69,98.2,96.98,98.48,99.53,99.53,97.18,96.3,101.12,96.25,97.43,96.57
